timestamp,overall_cpu,per_cpu
1746381723.7015717,14.4,"[16.3, 99.0, 8.0, 4.4]"
1746381726.7030535,35.4,"[18.9, 100.0, 16.0, 8.5]"
1746381729.704204,0.5,"[3.4, 74.7, 7.6, 6.6]"
1746381732.7054276,35.2,"[4.7, 100.0, 14.1, 14.7]"
1746381735.7065084,8.9,"[2.0, 0.0, 6.9, 1.0]"
1746381738.707721,35.0,"[53.1, 13.0, 61.6, 12.1]"
1746381741.7087307,33.9,"[0.0, 0.0, 0.0, 1.0]"
1746381744.7100213,34.1,"[66.3, 22.9, 46.4, 9.1]"
1746381747.7112012,36.5,"[8.2, 7.7, 61.6, 8.4]"
1746381750.7124796,21.8,"[15.5, 8.4, 99.0, 4.6]"
1746381753.713744,35.1,"[90.0, 8.3, 26.0, 7.6]"
1746381756.7147644,0.0,"[100.0, 11.4, 7.5, 6.1]"
1746381759.7160294,34.3,"[14.9, 100.0, 8.5, 5.8]"
1746381762.7171447,0.8,"[1.1, 30.3, 4.1, 3.1]"
1746381765.7183344,35.0,"[11.8, 12.5, 12.2, 100.0]"
1746381768.7193563,23.8,"[1.0, 0.0, 0.0, 0.0]"
1746381771.7206306,36.8,"[11.5, 11.5, 100.0, 12.5]"
1746381774.7217388,36.0,"[3.1, 1.1, 38.0, 9.0]"
1746381777.722878,30.1,"[14.9, 10.0, 100.0, 12.4]"
1746381780.7240765,36.7,"[17.9, 8.0, 100.0, 14.4]"
1746381783.7252343,7.2,"[100.0, 13.8, 2.2, 5.7]"
1746381786.7263727,34.0,"[100.0, 13.8, 12.2, 9.0]"
1746381789.7274225,0.5,"[2.2, 3.2, 55.4, 5.4]"
1746381792.7286606,34.7,"[56.4, 18.8, 59.2, 5.8]"
1746381795.72971,16.0,"[1.0, 1.0, 1.0, 0.0]"
