timestamp,overall_cpu,per_cpu
1747173851.354405,0.0,"[2.0, 0.0, 0.0, 1.0]"
1747173854.3552945,0.8,"[1.0, 0.0, 1.0, 0.0]"
1747173857.3560874,0.0,"[0.0, 1.0, 0.0, 1.0]"
1747173860.3569267,0.8,"[1.1, 0.0, 1.0, 0.0]"
1747173863.3579109,0.3,"[0.0, 1.0, 0.0, 0.0]"
1747173866.3587587,0.8,"[1.1, 0.0, 1.0, 0.0]"
1747173869.3596509,0.5,"[0.0, 0.0, 0.0, 1.0]"
1747173872.3605714,1.3,"[1.1, 0.0, 0.0, 1.0]"
1747173875.3615053,0.5,"[0.0, 0.0, 0.0, 2.0]"
1747173878.3624213,0.8,"[1.2, 0.0, 0.0, 1.1]"
1747173881.363357,0.5,"[0.0, 0.0, 0.0, 1.0]"
1747173884.3642256,0.8,"[2.5, 0.0, 0.0, 0.0]"
1747173887.3651605,0.5,"[2.3, 1.0, 1.0, 1.0]"
1747173890.3660495,1.6,"[1.3, 0.0, 0.0, 0.0]"
1747173893.3669593,0.6,"[1.3, 0.0, 2.1, 0.0]"
1747173896.367894,0.8,"[0.0, 1.1, 0.0, 0.0]"
1747173899.3688064,0.8,"[4.0, 0.0, 1.1, 1.1]"
1747173902.3697226,0.8,"[2.2, 0.0, 0.0, 1.0]"
1747173905.3706808,0.9,"[1.4, 1.1, 0.0, 1.1]"
1747173908.3715565,0.8,"[1.0, 0.0, 2.0, 2.0]"
1747173911.3724844,0.9,"[3.0, 1.1, 1.1, 2.2]"
1747173914.3734133,1.2,"[0.0, 0.0, 0.0, 0.0]"
1747173917.3744237,1.2,"[1.6, 1.1, 0.0, 3.3]"
1747173920.3754241,1.2,"[4.7, 1.1, 1.1, 1.1]"
1747173923.3764153,0.8,"[5.0, 1.1, 0.0, 1.1]"
1747173926.377465,1.2,"[6.6, 1.1, 0.0, 1.1]"
1747173929.378442,1.2,"[5.3, 0.0, 0.0, 0.0]"
1747173932.3795753,1.9,"[7.1, 1.1, 1.1, 2.4]"
1747173935.3804593,1.4,"[0.0, 0.0, 0.0, 0.0]"
1747173938.381518,2.5,"[14.5, 1.1, 2.2, 2.4]"
