timestamp,utilization
1747306397.4544294,0.0
1747306397.5546594,0.0
1747306397.6549716,0.0
1747306397.755305,0.0
1747306397.8556254,0.0
1747306397.9559152,0.0
1747306398.0562232,0.0
1747306398.1566117,0.0
1747306398.2569008,0.0
1747306398.3571885,0.0
1747306398.4575386,0.0
1747306398.557864,0.0
1747306398.6581728,0.0
1747306398.7585309,0.0
1747306398.8588424,0.0
1747306398.9591086,0.0
1747306399.0594501,0.0
1747306399.159741,0.0
1747306399.2600358,0.0
1747306399.3603537,0.0
1747306399.4606209,0.0
1747306399.5609424,0.0
1747306399.661242,0.0
1747306399.7615488,0.0
1747306399.861824,0.0
1747306399.962115,0.0
1747306400.062435,0.0
1747306400.1627367,0.0
1747306400.2630117,0.0
1747306400.3633401,0.0
1747306400.463639,0.0
1747306400.5639567,0.0
1747306400.664224,0.0
1747306400.7645364,0.0
1747306400.8647878,0.0
1747306400.9650571,0.0
1747306401.06537,0.0
1747306401.1656766,0.0
1747306401.2659585,0.0
1747306401.3662226,0.0
1747306401.466499,0.0
1747306401.5668344,0.0
1747306401.6671522,0.0
1747306401.76752,0.0
1747306401.8677988,0.0
1747306401.9681032,0.0
1747306402.0684586,0.0
1747306402.1687922,0.0
1747306402.2690966,0.0
1747306402.3694208,0.0
1747306402.4697254,0.0
1747306402.5700297,0.0
1747306402.6703281,0.0
1747306402.7706912,0.0
1747306402.8709896,0.0
1747306402.971294,0.0
1747306403.0716114,0.0
1747306403.1719084,0.0
1747306403.2722118,0.0
1747306403.3725498,0.0
1747306403.4728458,0.0
1747306403.573152,0.0
1747306403.6735227,0.0
1747306403.7738345,10.0
1747306403.874092,0.0
1747306403.9744077,0.0
1747306404.074732,0.0
1747306404.1750455,0.0
1747306404.2753556,0.0
1747306404.375654,0.0
1747306404.4759521,0.0
1747306404.5762858,0.0
1747306404.6765785,0.0
1747306404.7768896,0.0
1747306404.8771667,0.0
1747306404.977524,0.0
1747306405.0778227,0.0
1747306405.178117,0.0
1747306405.2784464,0.0
1747306405.3787196,0.0
1747306405.4790096,0.0
1747306405.5792952,0.0
1747306405.6796162,0.0
1747306405.7798991,0.0
1747306405.8802228,0.0
1747306405.9805622,10.0
1747306406.0808861,0.0
1747306406.1811953,0.0
1747306406.2815135,0.0
1747306406.3818114,0.0
1747306406.4821067,0.0
1747306406.5824254,0.0
1747306406.6826925,0.0
1747306406.7830157,0.0
1747306406.883314,0.0
1747306406.9836166,0.0
1747306407.0839148,0.0
1747306407.1842127,0.0
1747306407.284499,0.0
1747306407.384759,0.0
1747306407.4850385,0.0
1747306407.585328,0.0
1747306407.6856256,0.0
1747306407.7859454,0.0
1747306407.8862867,0.0
1747306407.986613,0.0
1747306408.0869105,0.0
1747306408.187208,0.0
1747306408.2875473,0.0
1747306408.3878193,0.0
1747306408.4880896,10.0
1747306408.5883443,10.0
1747306408.6886406,10.0
1747306408.788921,10.0
1747306408.8891993,10.0
1747306408.9895346,0.0
1747306409.0898414,10.0
1747306409.190115,10.0
1747306409.2904224,19.9
1747306409.3907082,10.0
1747306409.4909704,0.0
1747306409.591232,10.0
1747306409.6915176,10.0
1747306409.7918181,10.0
1747306409.8921032,10.0
1747306409.9923773,10.0
1747306410.0926595,10.0
1747306410.1929393,10.0
1747306410.2931955,0.0
1747306410.3934925,10.0
1747306410.4937978,10.0
1747306410.5940826,19.9
1747306410.6943495,10.0
1747306410.7946272,0.0
1747306410.8949087,10.0
1747306410.9951625,10.0
1747306411.0954542,10.0
1747306411.195761,10.0
1747306411.2960203,10.0
1747306411.396289,10.0
1747306411.4965396,10.0
1747306411.5968401,10.0
1747306411.697131,0.0
1747306411.7974303,10.0
1747306411.8976889,10.0
1747306411.9979703,19.9
1747306412.0982177,10.0
1747306412.198502,0.0
1747306412.2987995,10.0
1747306412.39911,10.0
1747306412.4994025,10.0
1747306412.5996797,10.0
1747306412.6999674,10.0
1747306412.8002317,10.0
1747306412.9005275,10.0
1747306413.0008123,10.0
1747306413.1011317,0.0
1747306413.2014468,10.0
1747306413.3017182,10.0
1747306413.4019828,19.9
1747306413.5022855,0.0
