type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,234.2,140.5,93.8,153.0,163.2,212.0,234.8,250.3,262.2,275.7,295.9,337.4,783.6,1681.9,6223.6,4992.4,5000
read,333.7,442.6,86.8,152.6,168.9,262.8,305.3,330.3,349.5,374.3,427.6,534.1,2261.6,7527.5,8089.6,10059.8,10000
read,329.6,441.7,80.4,147.7,166.6,279.6,328.7,356.5,377.9,414.4,453.0,507.6,1509.6,7734.1,13374.8,14893.4,15000
read,368.9,500.5,80.4,143.9,166.6,312.0,371.7,419.4,448.1,476.3,512.1,580.6,1438.9,7955.3,14616.1,20046.0,20000
read,360.6,331.8,74.4,136.1,159.8,311.8,387.4,440.2,468.4,500.9,542.2,620.1,1248.0,5317.9,7914.9,25062.2,25000
read,431.4,463.8,74.4,140.0,169.9,354.3,450.7,494.5,527.0,568.2,630.5,814.9,1914.9,6939.2,8041.0,30047.0,30000
read,438.2,490.1,80.4,136.7,165.3,350.8,456.2,506.3,543.9,592.2,670.1,906.1,1889.9,7576.2,10154.9,35037.4,35000
read,555.8,564.7,74.4,157.1,204.9,446.0,552.4,625.2,694.9,798.4,1000.9,1258.7,2297.1,7794.6,10102.1,39891.0,40000
read,1565.2,920.3,118.1,1194.0,1226.0,1373.9,1439.3,1472.7,1493.5,1565.2,1711.5,2612.0,7641.4,9095.7,15533.6,43894.9,45000
read,1600.8,892.7,127.6,1228.1,1286.5,1425.7,1478.2,1512.6,1554.3,1596.0,1706.8,2648.7,7654.3,8127.9,10501.0,43535.2,50000
read,1481.7,791.3,118.1,1173.5,1206.4,1336.8,1378.9,1415.8,1445.3,1474.7,1539.7,2467.3,7420.4,8109.0,10126.1,46712.7,55000
read,1463.7,774.5,148.8,1165.8,1202.4,1328.8,1371.1,1399.0,1432.3,1465.7,1508.9,2393.8,7378.5,8100.4,9847.8,47342.4,60000
read,1508.1,825.5,101.3,1191.7,1218.0,1351.9,1401.9,1441.5,1466.2,1490.9,1588.5,2481.7,7547.8,8117.6,11952.6,46058.8,65000
read,1557.7,864.0,137.8,1212.4,1251.5,1379.3,1440.9,1471.3,1490.3,1549.8,1669.1,2594.6,7605.1,8176.2,12345.2,44699.2,70000
read,1516.7,840.1,202.4,1194.6,1226.8,1365.0,1421.9,1454.1,1474.2,1494.2,1575.9,2459.8,7572.2,8125.0,10806.1,45953.8,75000
read,1411.1,740.8,202.4,1107.2,1140.7,1273.2,1329.1,1357.1,1374.7,1412.1,1487.6,2394.1,7005.8,8087.7,9660.4,48817.3,80000
