type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,198.5,136.6,74.4,128.5,139.6,189.1,210.3,221.4,229.6,238.9,252.0,273.2,349.1,1650.0,6889.1,8172.0,8195
read,409.6,563.9,68.9,151.8,176.2,261.8,303.6,333.6,360.8,403.2,538.5,1423.5,3226.9,5582.6,8094.1,158326.7,158594
read,202.6,120.5,63.8,103.1,113.5,178.3,217.7,243.3,263.1,286.4,316.6,361.0,463.7,1563.3,3413.6,149842.8,149766
read,199.3,70.3,74.4,124.5,137.6,194.2,217.2,229.2,237.1,247.9,261.4,283.8,345.6,860.4,2165.0,10427.0,10382
read,314.3,306.3,63.8,127.9,146.4,248.3,292.0,318.6,340.8,370.5,422.9,778.6,1565.5,3200.1,7328.4,170646.7,170548
read,205.4,138.1,63.8,104.2,114.8,180.1,220.1,245.9,265.7,289.1,319.2,364.3,470.3,1780.8,4009.5,150706.3,150565
read,203.8,136.6,63.8,101.3,111.2,175.7,218.3,246.3,267.2,291.7,322.3,367.5,474.8,1725.8,3391.5,137228.9,137144
read,204.6,138.5,63.8,102.7,112.9,177.6,218.6,245.4,265.9,290.1,320.4,366.1,473.7,1760.6,3929.5,143478.6,143496
read,203.0,129.6,63.8,102.8,112.9,176.7,217.7,244.5,265.0,288.9,319.2,364.1,467.2,1655.0,3576.5,144802.3,144743
read,202.1,137.8,63.8,97.9,107.2,173.6,222.4,253.5,275.2,299.9,330.9,371.6,467.4,1121.3,2961.4,116771.0,116745
read,202.1,166.3,63.8,99.4,109.1,173.2,217.9,247.2,268.7,293.3,324.6,368.9,482.8,1506.2,3320.9,129524.1,129314
read,212.5,142.9,63.8,104.2,115.1,184.2,228.0,255.7,276.1,301.0,333.5,380.4,529.6,2050.0,3767.9,144759.0,144723
read,204.2,120.0,63.8,98.3,107.9,175.0,224.5,255.6,277.4,302.9,334.9,377.2,480.8,1271.1,3562.2,117478.6,117379
read,201.9,113.5,63.8,98.1,107.6,173.5,220.9,251.5,273.0,297.4,329.0,372.0,478.5,1300.7,2647.8,120038.1,119931
read,202.1,135.7,63.8,99.3,109.1,173.3,217.4,246.2,267.6,292.2,323.6,367.9,474.4,1743.4,4686.9,132015.7,132052
read,205.6,143.0,63.8,102.1,112.3,177.5,219.4,246.8,267.5,291.7,322.7,368.6,493.2,2039.2,3944.3,143395.0,143350
read,207.0,161.7,63.8,102.5,112.9,179.3,221.2,248.3,268.7,292.6,323.4,368.5,491.4,1987.9,5545.3,143491.5,143518
read,217.1,124.8,63.8,112.3,125.2,196.0,234.1,258.0,275.3,296.9,325.8,370.8,496.8,1506.8,4130.4,173096.9,172981
read,207.5,115.7,63.8,96.9,106.1,180.4,237.0,268.0,288.2,311.6,339.4,376.3,465.7,1240.9,3190.7,94152.4,94027
read,221.5,136.5,63.8,112.9,126.1,198.9,238.3,263.2,281.4,303.8,333.7,380.4,509.2,2076.4,3939.6,170085.7,170019
read,222.3,134.3,63.8,115.1,128.8,201.2,239.2,262.7,279.9,301.3,330.2,375.6,506.2,1853.4,3752.6,179045.9,179090
read,235.4,120.5,68.9,100.1,111.9,223.6,275.3,302.4,321.1,342.3,367.2,402.5,504.1,1297.0,3117.8,47208.4,47130
read,217.1,83.9,68.9,113.2,129.1,213.8,244.6,260.6,271.3,284.5,300.5,327.9,399.0,917.8,2233.4,19426.0,19439
read,288.3,323.7,63.8,104.9,117.1,201.4,249.0,280.3,307.6,346.7,434.9,974.2,1583.9,3159.7,7244.8,129034.1,128963
read,216.4,102.3,68.9,113.4,128.6,215.4,244.3,259.1,269.3,281.3,296.0,321.1,376.1,892.4,3748.9,23829.9,23787
read,222.1,109.3,63.8,96.9,107.5,208.1,263.6,290.7,309.8,331.2,356.0,390.5,461.9,729.8,3083.3,61816.3,61848
read,230.7,196.7,63.8,99.1,109.9,197.4,258.5,295.1,322.1,351.6,385.8,435.7,590.4,1494.4,3570.0,101893.4,101968
read,205.2,129.3,63.8,97.7,107.0,176.4,227.7,259.3,281.0,305.8,336.7,378.7,470.5,1280.4,3932.8,108808.4,108767
read,207.7,115.9,63.8,97.1,106.4,180.1,234.6,265.9,286.9,311.3,340.9,381.3,477.0,1265.0,3060.6,97236.0,97139
read,223.0,155.1,63.8,111.5,124.1,198.2,239.1,264.8,283.7,307.0,337.4,385.2,516.7,2405.7,5330.3,158519.3,158594
read,213.1,175.3,63.8,103.8,114.5,183.0,226.1,253.3,273.6,297.8,329.7,375.8,538.7,2414.7,5382.9,141393.0,141240
read,251.5,222.6,63.8,103.4,115.9,229.3,278.9,305.7,325.1,346.7,372.7,417.4,772.6,2965.0,8001.6,41527.8,41405
read,270.0,292.7,63.8,99.2,110.3,229.6,293.4,331.4,356.7,383.4,416.4,471.0,1095.5,4434.1,7752.4,57924.3,57997
read,254.3,276.1,63.8,103.6,115.0,194.7,246.8,277.4,299.6,327.1,364.9,447.3,1553.2,3271.8,7264.4,133705.5,133577
read,245.8,220.6,63.8,100.0,111.2,223.3,278.0,308.3,330.4,354.8,383.9,429.3,588.8,2783.2,9574.6,54038.7,53832
read,409.3,461.5,63.8,131.2,152.4,274.6,330.3,371.4,412.9,487.8,871.1,1458.3,2107.4,4061.5,7946.1,139694.1,139832
read,228.4,148.0,63.8,113.0,126.6,203.3,245.7,271.6,291.6,316.0,348.3,402.5,549.5,2012.9,5556.7,170504.1,170515
read,211.2,162.6,63.8,101.2,111.2,180.0,225.8,254.8,276.0,301.1,333.5,380.0,526.1,2500.5,4359.0,128371.3,128494
read,231.8,207.1,68.9,114.3,130.7,221.2,254.4,271.6,284.2,298.3,318.3,348.7,460.3,2044.3,10769.9,20808.0,20789
read,262.0,235.6,63.8,99.2,110.3,228.4,294.4,333.8,359.9,387.9,421.6,472.3,852.3,3087.4,8090.5,63582.6,63647
read,259.5,207.6,63.8,98.9,110.0,227.8,294.0,333.3,359.4,387.5,421.0,471.1,771.5,2962.8,5338.4,64752.6,64802
read,260.8,201.4,63.8,100.0,111.4,232.5,295.3,332.3,356.7,382.4,413.4,462.4,807.7,2766.6,5227.9,55736.6,55719
read,333.2,284.8,63.8,146.0,167.6,281.9,332.0,362.9,387.2,419.0,466.0,577.0,1570.3,3463.4,7457.7,174041.2,174179
read,217.5,153.9,63.8,100.1,110.4,185.0,238.9,270.5,292.3,318.1,350.1,397.0,585.4,1950.3,4845.7,106405.3,106356
read,300.5,215.4,68.9,139.3,159.6,270.6,323.7,356.2,380.4,410.4,452.0,519.4,727.3,3265.4,7370.9,178883.6,178750
read,217.1,155.7,63.8,100.0,110.2,185.3,239.2,270.8,292.5,318.2,350.0,396.5,547.9,2051.6,4936.9,105595.6,105831
read,219.3,193.8,63.8,101.4,111.8,186.7,239.5,270.9,292.4,317.6,349.5,398.6,578.4,1893.6,7970.4,110752.7,110667
read,206.2,98.0,74.4,132.2,145.5,198.3,221.1,233.0,242.3,252.9,268.0,292.1,361.6,1213.2,3660.5,8784.4,8803
read,254.9,204.0,63.8,103.8,116.5,236.3,293.8,325.9,347.5,369.7,396.9,437.5,551.5,2024.0,10186.9,45782.7,45662
read,249.2,114.2,63.8,110.2,125.3,240.8,287.6,312.6,330.4,350.2,374.2,412.8,512.8,1192.6,2571.9,30880.4,30867
read,251.4,182.5,63.8,103.4,115.9,236.0,293.6,324.8,346.0,369.1,395.9,434.9,537.6,1174.6,10729.5,45704.7,45656
