type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,199.4,119.1,63.8,95.8,104.6,172.3,222.8,252.2,272.3,295.4,324.2,366.7,484.2,981.1,3409.2,106465.8,106356
read,220.9,135.6,63.8,112.5,126.0,199.7,237.8,261.5,278.8,300.5,329.5,375.4,504.1,1891.3,4253.6,178669.6,178750
read,198.3,104.7,63.8,95.5,104.2,172.1,222.6,252.2,272.3,295.4,323.4,365.3,469.2,904.6,2509.5,105881.3,105831
read,200.8,110.7,59.1,96.7,105.8,173.7,223.2,252.9,273.4,296.8,326.3,368.6,481.5,1095.1,3059.7,110695.0,110667
read,183.1,214.8,74.4,116.7,128.3,170.0,188.9,199.6,207.6,216.7,229.6,251.0,335.7,1988.0,10780.4,8785.3,8803
read,231.2,152.9,63.8,95.5,105.9,213.2,263.2,291.0,310.8,332.7,359.0,399.3,576.9,2084.5,4165.7,45688.7,45662
read,217.0,129.0,63.8,99.5,112.0,208.6,245.4,265.2,279.0,295.5,318.1,353.2,460.4,1253.2,4149.9,30876.2,30867
read,215.9,104.3,59.1,94.9,105.0,207.8,250.8,272.9,289.2,308.8,333.6,369.8,457.0,1092.4,2603.9,45611.5,45656
read,226.7,151.0,59.1,96.5,106.4,188.2,246.1,280.4,306.5,338.4,381.1,465.8,716.3,1452.8,3409.0,100859.5,100938
read,201.4,151.3,59.1,97.7,107.4,172.6,216.4,243.9,264.3,287.8,317.3,362.7,500.2,1967.3,4941.0,132319.8,132360
read,211.1,138.9,59.1,94.0,103.3,196.7,246.8,271.5,288.8,308.9,334.0,370.8,459.1,931.8,3410.9,67617.8,67591
read,213.3,105.5,63.8,97.5,109.2,207.5,243.6,263.1,276.4,293.2,315.4,348.1,425.3,1073.1,3294.2,33921.7,33910
read,256.7,230.4,63.8,97.9,108.3,204.1,274.3,319.9,355.1,395.9,447.1,528.0,899.6,3156.2,6252.2,85801.1,85729
read,183.9,114.1,68.9,113.1,127.0,175.0,194.9,205.5,213.4,222.7,234.5,255.4,329.4,1664.5,3789.8,12868.5,12884
read,246.9,200.0,63.8,96.3,106.9,223.5,278.0,309.5,331.0,354.2,382.3,429.0,692.8,2779.7,6274.8,45670.5,45621
read,240.0,153.0,63.8,98.4,110.6,224.0,272.5,298.8,317.2,338.0,363.2,401.9,590.0,2023.0,3680.6,37041.9,36938
read,260.3,254.5,63.8,96.0,106.2,225.5,287.7,324.6,349.3,376.2,410.1,465.4,935.1,3682.7,7721.2,56914.1,56902
read,230.5,205.9,59.1,97.8,108.0,186.3,241.3,273.6,297.4,328.2,370.6,467.5,896.7,2215.2,5233.8,102467.7,102243
