#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      213.2   164.2    63.8    98.3   108.0   180.6   232.2   263.5   284.7   308.4   337.4   384.1   591.0  2433.0  4741.8 106389.5   106356
read      247.9   193.9    63.8   121.3   137.4   221.3   263.6   288.7   307.8   331.2   363.5   418.6   602.6  3007.5  6610.9 178778.0   178750
read      208.5   140.8    59.1    97.9   107.4   178.8   230.3   261.3   282.4   305.6   333.6   374.7   518.7  2012.4  3732.0 105671.7   105831
read      204.6   123.8    63.8    97.7   107.2   177.6   227.6   258.0   278.4   300.6   327.8   369.2   500.5  1258.3  3921.7 110473.0   110667
read      185.7   129.6    68.9   118.7   132.2   174.5   192.7   202.8   211.7   221.7   235.4   263.7   360.9  1629.3  6092.0   8771.3     8803
read      233.1   235.1    63.8    96.9   107.3   217.4   269.2   297.3   315.8   336.6   362.4   401.2   496.7  1273.9 11239.7  45557.7    45662
read      221.0   149.5    63.8    99.8   112.3   211.0   251.6   273.2   288.1   304.9   326.2   360.9   448.0  1226.5  7578.0  30861.5    30867
read      228.9   117.9    63.8    96.8   107.3   216.0   267.4   295.1   313.7   334.6   360.2   399.1   494.3   914.0  3020.7  45779.6    45656
read      227.5   149.6    63.8    97.7   108.1   192.9   253.5   289.8   315.5   344.5   382.5   444.7   612.3  1634.9  4398.3 100866.5   100938
read      210.8   151.9    59.1   101.9   112.1   180.6   224.9   253.6   275.0   300.1   330.7   376.6   580.0  2048.1  4393.2 132525.2   132360
read      230.7   140.9    63.8    96.2   105.6   208.5   265.8   296.5   318.8   344.9   378.6   430.2   567.8  1599.3  3191.1  67680.6    67591
read      228.0   192.0    63.8    99.0   111.1   212.0   255.0   277.2   292.6   310.5   333.0   369.6   543.5  2227.2  8744.8  33957.2    33910
read      247.9   190.9    63.8    97.4   107.5   206.5   277.7   322.0   352.2   385.3   424.7   484.4   690.6  2568.5  5028.7  85961.3    85729
read      191.2    88.0    68.9   110.3   128.0   182.9   204.5   216.8   226.3   236.5   252.8   281.9   392.7  1085.2  2692.1  12847.9    12884
read      234.0   160.4    63.8    96.7   107.1   215.2   265.6   292.8   311.5   332.3   358.2   399.4   584.7  2281.5  3962.3  45611.6    45621
read      226.0   128.3    63.8    98.5   110.3   212.5   257.1   280.8   296.6   314.9   338.2   375.3   533.5  1567.7  3233.0  36927.4    36938
read      242.0   184.9    63.8    96.6   106.5   219.5   276.4   309.3   331.5   356.3   386.9   434.4   643.7  1936.7  3776.2  56897.6    56902
read      225.3   153.5    63.8    99.0   109.1   187.7   245.5   280.1   305.1   334.7   374.7   452.1   664.7  1518.1  4484.3 102057.8   102243
read      185.6    74.2    68.9   110.9   126.8   179.4   198.5   209.8   217.6   228.5   242.6   267.9   350.8   991.8  2374.3  14050.3    14085
read      243.4   177.9    63.8    99.1   109.6   200.0   266.5   308.3   339.9   377.2   423.4   493.0   697.4  2218.8  4153.5  94178.1    94103
read      208.2   101.8    63.8    97.3   106.5   199.2   243.4   264.3   278.0   294.3   315.6   351.0   464.1   925.9  3104.5  58261.9    58175
read      528.8   596.9    68.9   147.8   170.3   288.0   347.9   428.3   649.4  1291.4  1454.1  1640.4  2728.6  4549.7  8052.3 151242.5   151312
read      236.1   180.5    63.8   103.6   115.7   216.3   264.1   289.0   307.2   329.3   360.4   419.5   610.8  1644.7  7844.8  83501.6    83333
read      235.4   160.1    63.8   115.4   129.7   209.1   251.5   277.1   296.6   320.4   353.2   409.9   608.2  2403.3  4835.8 165102.3   165153
read      212.3   132.6    63.8   101.7   112.0   182.7   229.3   259.0   280.5   305.5   336.4   385.4   607.0  1479.5  3175.6 123964.2   123975
