#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      179.1   106.4    68.9   116.7   129.6   169.9   185.6   195.3   201.8   212.0   224.8   248.6   359.7  1352.3  3725.0   8128.6     8195
read      419.6   580.9    68.9   146.2   168.7   267.7   313.1   344.7   373.9   423.0   552.4  1459.7  3336.0  5439.6  8088.4 158777.0   158594
read      213.8   136.1    63.8   105.0   116.6   191.0   232.5   258.1   276.9   299.3   327.8   371.1   499.3  1859.3  4187.2 149864.7   149766
read      181.6    71.8    68.9   115.5   130.7   175.0   191.9   201.5   209.8   218.5   232.3   255.2   336.6   951.5  2071.0  10371.4    10382
read      390.4   384.4    68.9   154.1   177.7   285.2   337.2   373.0   404.2   453.9   567.1  1366.3  1714.4  3538.6  7655.7 170332.9   170548
read      217.9   139.1    63.8   107.2   119.4   196.1   236.9   262.6   281.0   302.9   331.3   375.3   504.2  1740.9  5155.8 150479.8   150565
read      206.2   146.6    59.1    99.9   110.2   178.3   221.4   248.7   269.5   293.7   322.4   367.1   516.1  2074.1  4847.6 137224.3   137144
read      203.1   129.7    63.8   100.3   110.6   177.5   218.8   245.3   265.6   289.2   317.6   360.8   491.0  1721.7  3462.4 143450.9   143496
read      200.6   137.4    63.8    99.1   109.4   174.7   215.5   241.5   261.8   285.3   313.9   356.1   488.4  1600.1  3903.4 144843.4   144743
read      202.6   122.7    63.8    96.7   106.0   174.3   222.7   252.9   274.5   298.7   327.6   370.7   514.2  1323.8  3440.3 116685.2   116745
read      200.3   131.3    63.8    97.3   106.8   173.2   217.6   245.7   267.0   291.1   319.1   361.1   485.4  1576.6  3637.1 129276.4   129314
read      201.7   136.5    63.8    99.5   109.8   176.0   217.2   243.4   263.6   287.0   315.1   356.9   466.4  1971.1  3873.0 144775.5   144723
read      198.0   116.4    59.1    95.4   104.3   171.2   218.3   247.9   269.5   293.5   320.6   361.6   471.2  1253.8  3132.0 117429.3   117379
read      200.3   123.2    59.1    96.0   105.0   172.1   219.0   248.7   270.7   294.9   323.1   366.3   516.2  1343.5  3203.0 119780.3   119931
read      198.2   124.1    63.8    97.1   106.6   172.2   215.3   242.7   263.8   287.8   315.9   356.6   466.2  1536.8  3609.4 131911.4   132052
read      202.7   141.6    63.8    99.2   109.5   175.8   217.1   243.2   263.4   287.0   315.4   358.2   501.2  1766.5  4162.5 143209.8   143350
read      202.4   131.9    63.8   100.0   110.3   177.1   218.3   244.8   265.3   288.9   317.2   360.0   484.8  1656.1  4229.5 143349.1   143518
read      223.3   134.9    59.1   111.0   124.3   201.0   241.8   266.9   285.6   308.4   338.6   388.8   522.6  1780.6  4076.7 173024.1   172981
read      198.7   111.1    63.8    94.3   102.6   174.5   228.0   257.2   276.7   297.6   320.9   357.2   448.8   934.4  2732.5  94128.8    94027
read      221.1   150.2    63.8   110.6   123.4   198.5   238.2   263.2   281.3   303.5   332.5   378.8   513.6  1751.7  5466.7 170291.5   170019
read      230.1   148.7    63.8   115.1   129.8   208.8   248.6   272.5   290.9   313.1   342.1   391.3   521.0  2196.1  5099.1 178970.0   179090
read      222.7   128.7    63.8    95.1   105.1   211.7   255.5   280.1   296.8   316.4   341.5   382.6   502.6  1364.8  4142.6  47038.1    47130
read      199.1    83.3    68.9   101.0   116.3   193.6   220.4   234.2   245.3   257.8   273.4   299.0   391.9  1047.6  2144.0  19450.9    19439
read      294.8   352.5    63.8   101.8   113.8   201.9   251.7   282.0   306.0   338.5   409.4  1198.9  1633.3  3277.1  7515.3 129013.4   128963
read      201.2   110.8    63.8   102.3   115.8   193.3   219.3   233.8   246.0   260.8   280.3   310.9   391.1  1355.6  4168.8  23806.3    23787
read      228.0   156.3    59.1    93.0   102.3   209.3   264.9   293.6   313.9   338.0   369.3   419.8   531.0  1584.2  4795.0  61862.7    61848
read      226.4   163.1    63.8    96.4   106.1   184.9   240.6   274.0   297.9   327.2   371.7   481.0   808.1  1600.5  3305.7 101902.4   101968
read      199.2   125.9    63.8    94.8   103.3   172.1   221.8   251.5   272.6   295.2   320.9   360.9   475.2  1455.4  3635.6 108849.4   108767
read      209.0   128.1    63.8    97.5   106.9   181.5   234.7   265.7   286.6   309.0   335.7   375.3   510.3  1592.2  3209.8  97237.0    97139
read      228.3   161.7    63.8   111.6   124.9   202.1   244.3   270.1   289.5   312.7   342.9   393.6   564.2  2362.9  4546.2 158535.2   158594
read      223.6   155.2    63.8   106.0   117.9   195.1   240.0   268.5   289.3   313.6   344.4   396.3   594.9  2053.4  4599.9 141233.7   141240
read      246.5   224.5    63.8    99.0   110.2   221.6   268.7   295.8   315.4   338.8   369.6   422.7   768.8  3306.2  7524.7  41268.2    41405
read      271.7   292.1    63.8    96.5   106.7   229.1   294.7   331.4   357.3   387.1   424.8   487.8  1193.6  4350.7  7670.0  57918.2    57997
read      259.7   271.7    63.8   105.1   117.0   200.9   253.3   285.0   307.9   335.0   371.5   459.0  1578.7  2933.9  7036.6 133498.3   133577
read      240.9   196.2    63.8    97.3   107.4   218.8   271.0   300.6   321.6   347.6   382.1   434.0   638.8  2011.3  7842.3  53831.1    53832
read      414.9   465.0    63.8   138.2   159.6   280.5   336.0   371.7   403.9   463.4   931.4  1489.4  2116.6  3844.0  7931.6 140126.4   139832
read      238.8   168.5    63.8   115.6   130.7   214.6   257.5   283.5   302.9   326.4   358.6   411.7   570.8  2596.8  5804.8 170470.0   170515
read      206.9   152.3    63.8    99.4   109.6   178.9   223.4   251.5   272.6   297.3   326.5   369.8   521.1  1847.7  4248.0 128417.8   128494
read      210.2   131.3    68.9   102.4   117.2   199.5   229.3   246.4   258.9   273.5   293.0   321.6   429.4  1799.9  4201.7  20801.5    20789
read      261.2   266.2    59.1    95.5   105.3   223.3   290.3   327.9   354.2   384.1   421.1   476.7   922.8  3686.2  8185.7  63642.6    63647
read      261.2   281.3    63.8    95.5   105.2   222.7   291.4   330.0   356.7   387.1   424.4   481.5   854.5  3717.7  7847.5  64836.6    64802
read      253.8   220.8    63.8    94.5   104.2   225.3   287.5   321.3   345.2   371.8   404.8   458.3   718.5  3289.9  5589.5  55754.5    55719
read      308.2   289.3    68.9   131.6   151.4   257.3   306.0   334.2   355.6   382.9   423.2   514.3  1592.0  3397.8  7270.5 174323.7   174179
read      204.0   131.2    63.8    95.5   104.3   175.0   226.1   256.3   277.1   300.4   327.6   369.8   543.2  1587.4  3400.4 106478.8   106356
read      231.9   173.3    63.8   114.2   128.8   208.5   248.4   272.3   290.5   312.5   341.5   391.6   544.7  2713.5  6606.3 178728.7   178750
read      203.8   143.4    63.8    95.5   104.3   174.7   225.1   255.2   276.3   300.0   327.4   369.4   521.3  1615.8  4863.9 105839.8   105831
read      198.4   123.5    59.1    94.9   103.6   172.1   221.2   250.2   270.0   291.7   317.1   356.7   482.2  1473.4  3521.2 110691.2   110667
read      175.8    98.4    68.9   113.5   126.8   168.9   185.1   195.2   202.0   212.0   224.3   245.4   299.7   979.3  4419.6   8809.7     8803
read      228.4   135.4    63.8    94.4   104.4   215.2   265.5   292.7   310.8   330.7   355.0   392.8   486.0  1699.9  4024.1  45626.5    45662
read      216.5   100.3    63.8    97.1   109.2   208.8   248.6   270.4   285.0   300.9   320.5   354.9   432.3  1087.2  2481.8  30927.1    30867
read      224.9   105.5    63.8    94.4   104.3   214.8   264.6   292.3   310.0   329.3   352.9   389.8   468.0   737.9  2499.6  45576.1    45656
read      214.1   133.9    63.8    95.4   104.7   182.5   238.0   269.4   291.1   316.7   353.7   424.6   592.1  1136.7  3603.7 100862.3   100938
read      202.9   153.4    63.8    97.1   106.8   173.8   217.5   245.0   265.8   289.2   316.9   359.1   527.7  1974.7  4196.9 132538.7   132360
read      236.3   180.6    63.8    93.3   102.2   209.7   268.8   301.9   325.0   352.2   386.4   436.1   626.3  2368.3  4967.2  67686.3    67591
read      217.5   113.7    63.8    95.9   107.4   207.9   248.8   270.6   285.5   301.9   321.6   354.7   452.0  1422.9  2537.0  33942.2    33910
read      243.4   176.4    63.8    94.7   104.1   204.3   277.6   320.8   350.5   383.6   422.6   479.2   641.8  2066.2  4446.9  85803.6    85729
read      189.4   284.2    68.9   106.6   122.1   176.5   196.8   208.3   216.3   226.7   239.9   264.6   331.8  2169.5 13319.5  12874.4    12884
read      230.5   151.6    63.8    94.2   104.1   214.4   264.6   291.5   309.5   329.5   354.2   393.6   565.8  1745.3  4104.7  45677.3    45621
read      223.7   131.5    63.8    96.2   107.3   210.9   255.2   279.1   294.6   312.7   335.4   370.8   508.1  1743.3  3325.8  36913.3    36938
read      241.5   163.1    63.8    94.0   103.5   216.8   275.9   308.9   331.1   356.9   390.2   445.7   700.0  2006.2  3574.1  56940.4    56902
read      218.4   159.1    63.8    96.3   105.7   181.3   234.5   267.1   290.1   316.0   350.0   421.3   786.7  1578.6  4165.4 102373.8   102243
read      186.7    93.5    68.9   108.6   124.5   180.2   199.9   211.6   219.5   230.1   244.3   268.9   336.9  1106.8  3338.8  14112.7    14085
read      240.8   210.1    63.8    96.8   106.7   195.0   259.4   297.9   326.1   361.6   409.1   485.1   772.7  2918.3  5880.6  94138.5    94103
read      212.1   126.2    63.8    95.7   104.8   200.9   246.3   268.7   283.8   300.8   323.0   362.7   470.0  1623.5  3368.5  58219.9    58175
read      504.2   564.2    68.9   148.6   170.3   293.1   353.7   412.5   510.3  1199.3  1417.4  1600.2  2628.3  4299.2  8003.9 151478.2   151312
read      220.3   125.6    63.8    99.7   111.0   202.4   251.5   277.3   295.2   315.6   341.8   386.5   513.6  1332.4  3799.8  83333.4    83333
read      227.6   161.0    63.8   111.0   124.2   202.2   244.0   269.4   288.6   311.3   340.9   391.0   553.3  2458.6  4663.5 165043.2   165153
read      202.3   126.7    63.8    97.7   107.3   174.9   219.9   248.4   269.6   293.8   321.7   364.4   515.5  1513.2  3306.0 124007.6   123975
read      210.2   193.6    68.9    99.5   112.0   200.8   232.8   250.7   263.9   278.9   298.4   329.4   418.3  1100.9 10652.1  28377.2    28449
read      189.2    93.2    63.8   105.5   121.6   181.9   204.0   216.3   225.5   235.3   251.1   275.9   370.4  1168.8  3652.4  14946.8    14903
read      218.0   124.9    63.8    97.8   109.9   207.2   245.6   266.2   280.3   296.2   316.8   348.0   487.2  1716.7  3149.5  31218.7    31189
read      227.7   121.2    63.8    96.2   107.2   215.1   262.3   287.5   304.3   322.2   345.4   383.0   524.1  1392.9  2435.3  40616.5    40636
read      252.0   224.4    63.8    96.0   106.1   212.2   283.2   324.7   353.1   384.9   423.7   481.7   703.9  3363.3  7364.5  80617.6    80574
read      314.7   304.2    63.8   128.7   148.0   255.1   302.4   330.7   352.9   382.4   427.8   565.0  1631.3  3398.8  7381.9 168879.4   168820
read      464.6   563.3    63.8   133.6   152.7   247.8   303.4   365.3   528.4   933.6  1330.2  1564.3  2759.4  4205.9  7999.0 162497.4   162621
read      351.2   380.9    63.8   113.1   129.3   228.5   302.6   371.3   435.4   538.5   718.7  1042.6  1927.9  3274.4  7899.4 101414.5   101621
read      213.0   108.8    59.1    94.4   104.3   203.8   252.6   277.0   293.5   311.5   333.3   365.8   435.0   579.8  2729.9  58604.6    58592
read      480.4   571.0    63.8   137.5   155.9   252.6   314.6   404.4   621.5   999.4  1338.0  1570.0  2779.7  4259.5  7996.2 152785.1   153042
read      373.6   400.6    63.8   114.6   131.1   236.1   318.7   404.3   489.6   615.7   798.3  1106.2  2056.3  3344.0  7906.9 112209.1   112238
read      468.8   572.8    63.8   134.9   153.0   248.0   305.6   374.1   552.7   929.2  1334.8  1580.9  2831.9  4477.3  8008.1 160157.0   160265
read      245.0   256.4    59.1    96.8   108.1   200.0   251.8   282.5   304.5   330.6   368.7   481.2  1107.4  3046.6  7946.2  57129.1    57109
read      216.0   102.8    59.1    94.3   103.8   197.4   254.1   285.3   306.0   328.2   354.9   393.7   471.7   627.0  1424.2  88574.3    88551
read      168.2    48.7    68.9   111.9   122.5   164.2   179.5   188.0   195.4   203.0   215.3   234.1   290.8   433.9  1984.0   8399.9     8385
read      201.4    81.3    59.1    97.0   108.3   200.6   232.2   248.6   260.2   273.2   290.6   315.9   372.3   499.8  2648.8  34145.8    34088
