Timestamp start: 1747260492671
Timestamp end: 1747261392963

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      212.7   130.2    63.8    99.6   109.6   183.0   237.2   270.5   292.9   317.5   348.5   392.5   500.3  1382.9  3384.1 106357.3   106356
read      251.5   133.5    63.8   126.3   142.6   231.1   274.6   300.4   319.6   343.8   375.8   429.0   561.6  1667.6  3429.3 178827.4   178750
read      211.9   120.3    63.8    99.2   109.1   182.5   236.9   270.6   293.0   317.4   348.3   393.5   502.3  1276.1  2888.1 105520.8   105831
read      210.6   129.2    63.8    99.0   108.9   180.7   233.2   266.5   288.9   313.7   345.3   390.2   504.5  1282.4  4426.9 110719.3   110667
read      201.2   216.7    74.4   126.6   138.3   187.9   209.7   222.6   231.7   242.8   256.6   279.2   352.0  2019.0 10725.3   8818.0     8803
read      250.2   145.7    63.8   102.0   114.3   236.1   292.2   320.4   341.8   365.1   392.3   431.2   543.6  1774.7  3443.8  45631.0    45662
read      247.1   189.9    68.9   107.1   121.8   238.7   284.8   307.2   322.1   341.5   364.0   395.8   477.4  1668.5 10375.5  30863.9    30867
read      245.7   129.0    63.8   101.1   113.2   234.1   290.4   319.1   340.0   363.0   389.5   426.2   503.3  1109.1  3725.7  45647.4    45656
read      230.7   127.3    63.8    98.2   109.3   203.1   265.9   300.7   324.9   352.8   385.5   431.6   563.4  1091.1  2860.6 101051.6   100938
read      263.7   272.5    63.8   107.4   119.5   199.9   249.5   282.0   307.7   341.7   395.5   604.6  1430.9  2626.9  7713.5 132299.5   132360
read      246.5   171.2    63.8   100.1   111.1   219.1   283.3   315.4   339.6   368.3   402.6   458.3   626.7  2244.7  4759.7  67527.3    67591
read      257.1   171.8    68.9   106.4   120.6   242.9   293.9   318.9   337.4   358.6   384.2   423.6   631.2  2293.5  5485.9  33956.5    33910
read      252.5   262.4    63.8   100.7   111.3   204.0   270.6   306.2   332.3   364.8   405.6   482.0   925.9  3957.5  7679.8  85805.3    85729
read      211.2    85.8    74.4   126.4   141.0   203.2   230.1   244.7   254.4   266.7   281.5   305.7   367.8  1145.2  2946.5  12877.6    12884
read      263.8   202.6    63.8   102.2   114.7   240.8   299.9   331.0   353.2   377.5   404.2   450.4   807.1  2782.4  5555.5  45563.8    45621
read      259.1   206.8    63.8   104.9   118.4   241.7   294.7   320.6   340.0   361.5   387.3   426.8   671.3  2677.2  7643.6  36946.1    36938
read      265.5   208.2    63.8   100.6   112.1   238.1   303.0   339.1   364.5   391.2   423.2   470.9   799.1  2565.4  7106.6  56936.8    56902
read      238.8   189.6    63.8    99.6   110.2   192.4   251.4   286.1   310.5   340.0   382.4   470.7  1067.9  2086.4  3633.6 102262.3   102243
read      216.4   169.8    68.9   122.8   138.9   206.7   236.0   251.7   262.6   274.2   291.0   316.1   385.4  1122.5 10234.2  14074.3    14085
read      267.0   225.1    63.8   102.2   113.7   210.2   280.7   324.1   360.6   404.5   465.4   574.6  1050.1  2683.4  5623.9  94280.0    94103
read      233.2   153.5    63.8   101.1   111.9   214.3   269.9   295.7   313.4   334.3   362.0   404.0   534.9  2026.7  4242.0  58259.8    58175
read      523.6   578.6    68.9   160.5   182.8   314.6   380.3   443.9   549.8  1066.5  1418.9  1623.9  2740.8  4900.0  8100.3 151512.3   151312
read      228.5   130.9    63.8   102.4   114.9   210.9   260.7   286.5   304.4   324.9   352.9   397.6   527.2  1386.1  3685.0  83215.2    83333
read      230.0   169.5    63.8   112.4   125.5   201.9   245.2   271.3   290.8   314.2   345.1   396.8   576.8  2623.3  5230.7 165345.9   165153
read      215.9   179.2    59.1   100.0   110.1   180.3   228.9   260.8   283.2   308.8   341.5   394.9   707.5  2166.2  5956.9 124061.2   123975
read      226.3   114.5    63.8   110.1   124.3   220.0   258.5   276.6   289.6   304.2   321.0   350.3   418.7  1417.0  4545.7  28469.2    28449
read      214.7    90.4    68.9   122.0   137.7   208.0   237.5   253.1   264.2   275.5   292.1   316.3   373.4   952.7  3830.9  14968.9    14903
read      240.6   126.1    63.8   107.7   122.0   233.1   279.2   301.2   316.0   334.0   356.7   391.0   469.9  1307.4  3684.0  31154.6    31189
read      245.4   140.3    63.8   103.7   116.5   234.3   288.5   314.3   332.3   352.6   377.0   411.8   496.8  1631.8  4026.9  40739.8    40636
