type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,192.9,85.7,80.4,130.5,140.3,185.2,202.9,213.7,221.2,230.6,243.6,267.2,344.2,1322.5,3054.2,4972.6,5000
read,220.7,119.2,80.4,129.4,143.6,210.3,234.5,249.0,259.5,272.0,289.7,317.3,434.5,1717.0,4075.8,9923.6,10000
read,238.6,144.2,68.9,122.1,138.3,227.0,258.5,276.3,289.2,304.1,322.9,358.0,552.3,1623.7,7018.4,14988.1,15000
read,278.5,266.8,68.9,120.8,138.3,258.1,297.3,318.2,334.0,352.3,377.1,431.9,808.5,4304.1,8483.0,19887.8,20000
read,291.6,364.6,74.4,117.7,134.0,256.7,301.4,325.5,343.0,364.2,396.5,452.7,1019.6,6343.2,7997.0,24976.6,25000
read,320.1,419.4,68.9,117.8,135.7,274.0,325.2,353.9,373.9,409.8,451.1,511.3,1336.7,7097.4,9840.6,30118.0,30000
read,294.8,200.1,68.9,113.2,131.2,274.7,327.7,358.7,383.4,420.4,458.0,506.4,692.7,2654.0,6372.8,35107.4,35000
read,304.1,267.1,68.9,111.6,128.3,274.4,332.2,366.1,398.3,435.9,474.1,531.3,806.1,4108.3,7897.6,40017.4,40000
read,303.0,208.8,68.9,109.7,126.6,275.7,336.1,372.7,411.1,448.3,487.6,546.9,780.0,2808.6,5897.1,45084.5,45000
read,357.0,388.2,68.9,112.0,132.1,295.2,363.4,418.6,455.1,494.0,547.8,700.7,1586.4,5978.3,8088.0,49972.2,50000
read,345.3,314.3,68.9,113.8,135.1,297.7,366.5,420.1,455.8,493.9,543.8,655.4,1188.4,4668.9,8003.9,54888.2,55000
read,350.1,287.4,68.9,116.0,138.5,299.7,374.5,433.3,469.3,510.0,570.4,686.3,1226.9,3894.3,7911.7,60184.8,60000
read,512.4,399.5,68.9,147.6,193.3,430.6,563.0,664.9,733.0,790.5,851.3,991.8,1686.5,5101.0,8065.5,64912.6,65000
read,511.1,356.1,74.4,157.8,203.6,451.0,576.7,653.7,708.9,763.6,826.7,995.7,1570.2,3852.4,7912.7,69576.2,70000
read,933.7,361.9,101.3,729.1,758.3,847.3,880.0,909.7,928.3,963.0,1412.1,1647.2,1808.5,7137.9,7716.9,70429.4,75000
read,945.2,391.9,93.8,738.1,762.0,852.2,889.2,916.2,933.1,979.3,1422.7,1657.9,1857.3,7236.4,8047.1,69832.4,80000
