#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      204.1   100.9    63.8   103.2   117.8   204.2   222.7   232.6   240.5   250.5   264.8   288.6   362.3   972.7  5197.1   5005.0     5000  1746384840892  1746384846098
read      217.1    77.6    68.9   113.4   137.0   216.9   236.1   248.8   257.3   268.3   282.4   306.7   368.6   909.0  2561.3  10047.0    10000  1746384847602  1746384852803
read      222.8    75.6    63.8   122.5   143.7   222.5   244.0   255.9   265.6   275.2   290.9   315.1   381.0   634.0  2472.5  14981.8    15000  1746384854307  1746384859479
read      223.4    80.7    63.8   124.5   141.3   223.8   247.3   260.4   269.6   280.6   294.8   318.0   374.3   548.1  2258.2  20006.2    20000  1746384860983  1746384866155
read      233.8   131.0    59.1   123.0   138.5   234.3   262.2   275.5   286.0   296.5   312.6   336.9   394.3   608.4  7301.5  25046.6    25000  1746384867659  1746384872829
read      232.3    88.6    63.8   125.0   138.9   230.4   262.3   277.9   289.2   301.7   317.9   344.5   425.6   733.2  2202.1  29945.9    30000  1746384874332  1746384879506
read      237.3   151.9    59.1   123.0   135.9   234.5   269.3   286.3   297.3   311.5   328.5   355.9   429.9   780.6  9433.6  35022.6    35000  1746384881010  1746384886181
read      239.7    94.6    63.8   123.4   136.0   238.8   277.1   295.0   307.6   320.6   339.2   367.2   439.0   637.1  1941.8  40075.4    40000  1746384887685  1746384892855
read      237.3    90.3    59.1   121.8   133.6   234.3   275.7   294.5   307.8   321.8   341.1   370.0   445.5   677.1  2273.2  45165.8    45000  1746384894359  1746384899532
read      239.7   101.4    63.8   121.9   133.7   233.5   279.1   299.6   313.6   329.6   348.5   380.2   459.3   684.5  2517.4  49708.9    50000  1746384901037  1746384906210
read      239.6    97.0    63.8   120.8   132.0   231.8   279.7   301.8   316.5   333.6   354.4   387.4   469.5   693.2  1899.5  54919.0    55000  1746384907714  1746384912885
read      238.1    95.5    63.8   120.6   131.7   226.8   277.7   301.6   317.2   335.4   357.3   391.1   472.4   697.8  1586.9  60006.6    60000  1746384914389  1746384919560
read      273.4   207.8    63.8   122.2   134.3   235.7   290.3   318.0   338.4   363.4   400.5   509.5  1058.4  2638.1  4685.0  64917.6    65000  1746384921064  1746384926235
read      237.9   117.3    63.8   119.3   129.9   219.9   273.2   300.6   318.7   339.3   364.4   402.8   510.7   847.0  3038.8  70076.9    70000  1746384927740  1746384932912
read      255.8   127.1    59.1   120.0   131.8   233.1   290.1   319.2   339.5   363.3   395.3   458.1   675.8  1194.7  2474.6  74797.2    75000  1746384934416  1746384939588
read      243.3   144.9    63.8   120.0   130.9   221.8   277.7   307.2   327.1   349.2   376.1   422.5   539.6   857.4  5489.6  79940.7    80000  1746384941093  1746384946266
read      245.8   118.4    63.8   120.6   131.6   222.6   279.0   310.0   331.5   355.9   386.8   436.8   577.7   840.3  3063.7  84814.8    85000  1746384947770  1746384952944
read      244.0   113.0    63.8   119.2   130.3   221.1   278.2   309.8   331.4   355.8   386.4   434.7   548.6   799.9  2916.5  90063.2    90000  1746384954448  1746384959619
read      251.6   129.8    63.8   121.6   133.2   224.5   284.6   318.9   343.3   370.7   405.2   460.4   584.3   777.3  3473.7  95056.8    95000  1746384961124  1746384966297
read      251.5   119.4    63.8   122.3   134.3   223.1   281.4   316.0   340.7   368.6   403.7   464.3   606.8   859.2  1926.6  99918.6   100000  1746384967801  1746384972972
read      238.4   122.8    59.1   120.0   130.9   211.6   265.8   298.6   321.9   348.2   381.1   432.0   543.2   746.2  3742.7 104976.6   105000  1746384974475  1746384979653
read      257.0   137.1    63.8   126.3   138.7   225.2   283.1   320.3   347.6   379.0   419.5   479.1   608.0   915.8  3845.6 109963.9   110000  1746384981157  1746384986327
read      271.8   140.4    63.8   129.0   141.9   231.1   295.2   341.9   376.1   415.4   462.9   531.5   672.5   965.5  3536.2 114697.4   115000  1746384987832  1746384993004
read      294.8   164.1    63.8   133.2   147.7   244.6   318.0   373.8   415.0   460.6   516.9   599.4   770.2  1150.7  2723.7 120151.6   120000  1746384994508  1746384999683
read      313.3   180.6    68.9   137.6   152.6   254.5   339.0   402.5   449.1   499.7   560.5   647.0   847.8  1204.5  3464.8 125004.4   125000  1746385001188  1746385006360
read      325.3   185.0    68.9   139.5   154.9   265.8   356.3   418.3   463.1   514.4   580.0   678.0   919.2  1305.5  2027.3 129691.3   130000  1746385007864  1746385013038
read      386.6   319.1    68.9   149.1   163.7   244.1   344.4   477.9   575.6   683.0   831.6  1089.9  1479.0  2182.5  3994.6 134726.2   135000  1746385014544  1746385019718
read      479.3   499.4    80.4   167.6   183.8   255.2   315.0   450.5   730.4  1053.6  1316.5  1474.7  2200.7  3429.1  7824.0 132009.6   140000  1746385021222  1746385026395
read      471.3   490.7    74.4   162.9   178.7   254.1   328.6   495.9   695.3   941.1  1244.2  1457.9  2295.7  3589.9  7870.2 134981.9   145000  1746385027899  1746385033071
read      482.3   569.0    86.8   173.1   188.7   247.6   285.7   345.8   590.9  1067.8  1343.0  1526.2  2857.9  4326.2  7963.1 134802.9   150000  1746385034574  1746385039747
read      484.9   538.7    68.9   170.3   188.0   256.4   305.1   421.3   680.7  1007.7  1318.3  1501.4  2614.6  4314.3  7975.1 133621.5   155000  1746385041251  1746385046426
read      487.3   577.3    74.4   167.1   184.1   253.6   296.8   369.8   632.5  1008.0  1329.6  1529.4  2952.6  4731.7  8003.1 133641.9   160000  1746385047931  1746385053104
read      495.5   603.4    74.4   169.6   188.1   259.1   306.1   385.6   610.3   961.6  1318.9  1549.6  3113.1  5263.3  8130.7 131655.1   165000  1746385054607  1746385059782
read      471.9   584.0    68.9   168.9   183.1   244.0   286.4   363.1   555.7   879.9  1286.5  1509.9  3081.1  4670.5  8079.8 137878.4   170000  1746385061287  1746385066458
read      497.1   574.3    68.9   173.7   191.0   262.6   324.2   468.1   662.2   930.6  1282.4  1524.2  2970.4  4708.6  8015.6 130797.4   175000  1746385067962  1746385073135
read      492.9   537.0    68.9   171.8   188.9   261.6   320.7   474.1   718.6  1033.1  1320.5  1493.6  2596.0  4201.9  8135.0 131870.4   180000  1746385074640  1746385079813
read      475.3   558.4    68.9   163.8   180.3   252.4   307.3   423.0   613.9   887.7  1239.3  1492.9  2874.9  4369.6  8070.2 136907.4   185000  1746385081317  1746385086493
read      497.4   608.9    68.9   173.0   190.9   258.2   303.0   383.0   601.2   968.0  1324.0  1556.4  3150.7  5394.5  8055.2 131170.7   190000  1746385087997  1746385093174
