type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,162.9,58.5,63.8,104.4,114.2,158.9,175.2,184.4,191.6,200.3,212.5,231.5,279.0,452.0,2473.6,4970.0,5000,1746197214900,1746197220111
read,171.9,51.7,68.9,108.0,119.1,169.2,186.3,196.3,202.8,212.0,223.1,242.2,291.9,457.1,2039.7,9965.0,10000,1746197221614,1746197226811
read,177.8,47.4,59.1,106.6,118.4,176.4,194.7,204.5,212.3,220.8,233.0,253.9,309.8,424.3,678.5,14903.0,15000,1746197228313,1746197233480
read,183.4,65.2,63.8,104.4,115.8,183.4,202.9,213.6,221.0,230.4,242.9,264.0,316.5,405.5,2635.6,19960.6,20000,1746197234983,1746197240151
read,188.3,62.5,63.8,102.6,113.4,189.0,210.4,221.6,230.0,239.9,253.5,276.1,335.2,438.4,2263.9,25085.0,25000,1746197241654,1746197246819
read,192.4,64.6,54.7,102.3,112.9,194.5,217.5,229.5,237.6,249.0,263.7,287.3,348.8,454.0,789.1,29975.4,30000,1746197248322,1746197253487
read,192.1,119.3,63.8,100.7,110.7,194.0,218.7,230.8,239.4,250.2,264.5,287.3,344.7,441.7,4711.0,34866.6,35000,1746197254990,1746197260159
read,195.2,68.0,59.1,101.7,111.5,198.5,225.1,237.5,247.4,258.4,272.7,296.3,360.4,457.2,1384.7,40029.6,40000,1746197261661,1746197266833
read,194.7,66.5,59.1,99.8,109.6,198.1,227.4,240.9,250.6,262.1,275.1,297.4,355.5,468.6,981.0,45055.4,45000,1746197268335,1746197273502
read,193.7,70.6,63.8,99.2,109.0,195.3,227.2,241.5,251.3,263.2,276.8,301.2,359.1,447.8,638.3,50160.8,50000,1746197275005,1746197280177
read,196.0,75.0,63.8,99.7,109.2,194.4,230.7,247.0,257.9,270.2,286.3,311.3,369.1,467.7,855.0,55147.7,55000,1746197281680,1746197286848
read,194.1,75.9,54.7,97.5,106.6,190.2,229.5,246.5,257.8,270.6,287.1,312.3,371.0,500.0,1385.1,60064.2,60000,1746197288350,1746197293519
read,195.0,75.9,59.1,96.5,105.7,189.4,232.4,250.6,262.6,274.9,292.1,317.1,373.2,465.6,1299.2,64952.2,65000,1746197295022,1746197300198
read,198.3,92.4,63.8,97.1,106.3,189.7,235.9,255.3,267.6,281.4,297.5,325.0,389.3,508.8,2741.2,70104.0,70000,1746197301702,1746197306869
read,198.6,79.9,59.1,96.4,105.5,188.3,238.8,259.2,271.7,286.2,303.5,330.1,391.7,496.5,880.9,74952.4,75000,1746197308373,1746197313541
read,193.2,85.3,59.1,94.7,103.3,181.3,230.7,251.6,264.6,278.2,294.8,319.9,381.5,490.8,2145.5,79991.6,80000,1746197315043,1746197320212
read,193.5,87.1,59.1,95.3,103.9,178.1,229.6,252.1,265.7,280.3,297.3,325.3,392.5,518.1,2351.0,85053.0,85000,1746197321715,1746197326883
read,196.3,140.9,54.7,95.2,104.1,179.9,230.9,254.4,268.5,284.3,303.4,332.5,400.2,534.6,9925.8,89723.4,90000,1746197328387,1746197333554
read,188.7,83.6,59.1,93.6,101.5,170.0,222.0,246.8,262.1,277.7,296.6,327.5,399.1,538.4,1002.0,94915.6,95000,1746197335057,1746197340226
