type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,206.7,92.3,68.9,101.0,113.1,206.3,226.4,237.4,247.1,257.8,273.1,299.6,394.6,1005.9,3174.6,4962.0,5000,1746384403300,1746384408505
read,217.2,110.9,68.9,111.4,136.4,214.6,234.5,246.7,254.7,266.5,280.5,304.7,374.0,1091.1,3452.5,10068.8,10000,1746384410009,1746384415206
read,222.7,93.9,63.8,118.3,141.6,221.1,243.3,255.7,265.7,276.0,291.7,315.9,388.7,776.9,4813.6,14945.8,15000,1746384416711,1746384421880
read,246.1,156.4,63.8,123.5,142.8,231.4,257.7,271.9,283.1,295.7,316.5,363.9,787.2,2151.9,5265.5,20017.6,20000,1746384423384,1746384428551
read,235.8,79.6,63.8,124.7,141.2,234.8,263.4,277.7,288.8,301.2,318.1,346.4,444.7,713.3,1732.2,24866.4,25000,1746384430056,1746384435225
read,241.9,149.1,63.8,123.6,138.4,237.9,268.7,284.5,295.2,309.6,327.6,361.0,505.0,1371.4,7838.5,29973.8,30000,1746384436729,1746384441899
read,237.2,93.5,63.8,122.7,135.9,237.7,270.7,286.9,297.4,311.5,328.6,356.6,437.8,774.3,3147.5,34952.9,35000,1746384443402,1746384448571
read,232.3,87.7,63.8,122.8,134.9,231.2,267.6,284.5,295.5,309.6,326.4,353.2,420.7,642.9,2299.7,40049.0,40000,1746384450075,1746384455244
read,236.8,92.1,63.8,122.1,134.1,233.5,273.6,292.2,305.2,319.3,339.0,369.7,461.6,683.6,1723.1,44867.0,45000,1746384456747,1746384461917
read,241.8,116.2,54.7,121.4,133.1,234.4,277.7,297.5,311.6,327.5,346.8,384.5,534.3,1057.3,3137.5,49952.6,50000,1746384463421,1746384468593
read,241.7,116.4,63.8,120.8,132.4,230.2,277.2,299.2,314.4,332.2,355.0,394.9,546.8,1036.4,2931.8,55099.2,55000,1746384470097,1746384475264
read,237.5,106.9,63.8,120.5,131.7,225.4,274.1,296.6,312.2,330.0,352.3,389.4,504.6,881.7,2712.7,59919.0,60000,1746384476769,1746384481937
read,242.0,124.2,68.9,120.8,132.2,226.4,277.9,302.9,319.3,338.5,363.1,403.0,548.9,951.1,2105.2,64962.0,65000,1746384483441,1746384488611
read,241.7,114.9,59.1,119.2,130.2,224.6,278.0,303.7,320.5,340.5,366.5,408.2,560.2,1054.8,2726.3,70036.6,70000,1746384490114,1746384495281
read,237.7,107.0,68.9,118.9,129.9,220.9,273.7,300.1,317.7,338.1,363.8,402.9,507.8,732.0,3107.8,75270.4,75000,1746384496785,1746384501954
read,243.0,120.2,63.8,119.6,131.0,223.5,276.4,303.9,322.5,344.0,371.9,419.5,565.3,909.8,2816.5,79950.3,80000,1746384503458,1746384508629
read,233.9,101.9,68.9,119.3,130.1,215.3,266.3,294.1,313.3,334.9,361.8,401.2,493.4,687.2,1977.8,85127.0,85000,1746384510133,1746384515301
read,237.8,98.5,68.9,121.0,132.3,218.3,268.6,296.4,316.4,339.1,367.9,413.8,525.7,725.8,1151.2,89927.0,90000,1746384516804,1746384521972
read,243.1,110.6,63.8,121.8,133.6,222.3,273.5,302.1,321.9,345.4,375.6,426.2,549.5,834.8,2494.9,94905.2,95000,1746384523476,1746384528648
read,243.3,114.4,68.9,123.6,135.6,222.8,272.8,301.2,320.8,344.5,374.6,423.7,532.8,808.4,3769.7,100023.9,100000,1746384530151,1746384535320
read,244.4,109.3,68.9,125.1,137.6,224.4,274.2,302.6,322.6,346.1,376.7,424.9,526.7,711.7,2448.1,104952.9,105000,1746384536823,1746384541993
read,247.3,116.7,74.4,126.6,139.3,226.7,275.6,303.9,323.6,347.1,379.2,429.8,545.7,811.2,2994.6,109830.0,110000,1746384543496,1746384548666
read,260.2,115.6,63.8,131.3,145.7,239.2,290.1,318.7,339.9,365.3,398.6,453.1,583.0,832.5,2779.9,114963.0,115000,1746384550169,1746384555344
read,265.1,111.0,68.9,135.0,150.5,244.8,295.0,323.7,344.7,370.4,403.6,459.0,587.0,841.9,1796.0,120295.4,120000,1746384556848,1746384562016
read,288.3,126.7,63.8,146.8,165.2,268.8,319.9,349.5,371.6,398.4,432.9,488.5,623.5,906.4,3932.9,125035.8,125000,1746384563520,1746384568690
read,287.6,110.5,68.9,151.0,169.7,270.4,319.9,348.6,369.8,395.0,427.4,475.3,588.7,787.7,2017.7,130062.4,130000,1746384570200,1746384575370
read,337.0,127.7,74.4,175.3,199.2,317.3,375.2,408.6,432.6,461.0,497.4,553.4,693.1,1014.4,2214.6,134814.1,135000,1746384576872,1746384582044
read,446.6,179.2,86.8,218.6,255.1,402.0,502.6,568.5,611.3,653.8,698.2,751.4,864.8,1181.0,3636.6,134507.6,140000,1746384583548,1746384588719
read,466.2,178.7,93.8,252.6,281.1,431.5,550.4,596.3,623.4,652.0,684.0,732.1,841.6,1460.9,4388.6,136748.2,145000,1746384590223,1746384595391
read,462.7,178.5,86.8,253.5,280.8,432.8,546.7,590.8,617.3,644.1,676.9,723.2,817.2,1082.4,5385.5,138749.1,150000,1746384596895,1746384602064
read,477.6,184.3,80.4,256.4,285.4,439.5,560.5,608.7,637.3,668.4,703.1,752.1,920.5,1651.9,3988.1,134954.7,155000,1746384603568,1746384608751
read,479.2,175.9,74.4,266.9,296.0,430.0,569.0,620.5,650.0,679.1,712.6,752.6,849.7,1016.7,4194.1,134444.2,160000,1746384610255,1746384615427
read,463.6,178.1,68.9,255.4,282.9,431.5,542.5,588.9,617.7,647.4,681.4,728.7,811.5,1003.8,4007.5,139097.5,165000,1746384616931,1746384622102
read,465.0,168.7,93.8,257.7,283.6,432.2,554.7,597.6,622.4,648.4,678.9,722.8,808.0,1193.8,3858.0,138662.1,170000,1746384623605,1746384628776
read,463.7,173.5,93.8,260.1,284.6,423.2,562.0,603.6,626.0,649.9,677.6,717.4,795.8,977.5,3911.4,139127.2,175000,1746384630280,1746384635454
read,482.2,177.4,80.4,260.8,291.3,440.2,565.9,617.1,647.6,678.8,715.7,766.5,899.6,1377.8,2715.9,133798.2,180000,1746384636958,1746384642128
read,469.6,170.8,86.8,262.2,288.8,427.4,561.5,607.7,633.9,661.5,689.9,733.4,809.6,988.2,3563.3,137399.9,185000,1746384643632,1746384648806
read,474.7,173.4,80.4,261.8,290.2,433.0,562.8,611.3,639.6,668.9,700.5,742.8,843.3,1123.4,3922.2,135889.6,190000,1746384650310,1746384655481
read,457.9,158.7,93.8,254.9,279.5,432.5,553.0,591.2,613.8,636.2,665.5,702.0,788.7,968.9,2671.8,140836.1,195000,1746384656986,1746384662159
