type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,155.6,47.0,63.8,99.3,109.0,151.2,167.1,176.0,183.2,192.1,203.9,224.8,279.5,490.3,1214.5,4902.6,5000,1746196778108,1746196783315
read,166.7,49.1,59.1,102.2,113.4,164.1,181.2,190.5,197.7,206.4,217.9,238.2,290.4,398.7,1793.2,9983.0,10000,1746196784818,1746196790014
read,179.0,63.8,68.9,102.2,114.2,176.8,196.8,207.8,215.7,225.9,239.0,262.9,317.5,447.2,1403.3,15076.0,15000,1746196791517,1746196796685
read,185.2,57.1,63.8,100.6,112.1,184.3,206.3,217.9,227.1,237.0,252.5,277.3,339.5,441.9,809.2,19980.1,20000,1746196798189,1746196803358
read,191.3,72.3,63.8,99.0,110.1,191.6,215.8,228.5,236.9,248.8,263.7,288.2,348.9,489.7,2519.7,24909.4,25000,1746196804861,1746196810031
read,194.9,67.9,59.1,96.5,106.8,197.3,224.4,238.1,248.4,260.1,274.1,297.8,352.5,430.7,1145.0,29974.0,30000,1746196811534,1746196816703
read,196.4,81.4,63.8,96.8,106.3,198.2,227.5,242.2,252.4,264.8,279.8,304.7,363.8,468.6,2332.4,34957.6,35000,1746196818207,1746196823377
read,195.3,71.7,63.8,96.2,105.3,195.3,228.5,244.8,255.6,268.6,284.9,310.7,370.5,458.3,643.9,39930.2,40000,1746196824880,1746196830047
read,201.0,84.3,63.8,95.6,104.8,199.6,236.4,254.3,266.6,280.3,297.0,324.9,391.0,503.3,2026.8,45181.8,45000,1746196831550,1746196836719
read,202.1,79.7,59.1,94.1,102.9,199.8,241.1,260.6,273.1,288.0,306.2,333.8,392.7,477.2,1263.6,50197.0,50000,1746196838222,1746196843389
read,207.0,90.6,59.1,94.7,103.4,200.9,246.8,268.3,282.6,298.0,317.9,347.2,412.7,546.8,2572.3,54915.9,55000,1746196844892,1746196850061
read,205.8,86.5,59.1,94.1,103.0,198.2,245.1,267.7,282.6,298.8,319.2,348.9,412.9,508.4,838.3,59980.2,60000,1746196851564,1746196856732
read,209.9,94.2,59.1,94.7,103.9,201.0,250.3,273.8,289.6,307.1,328.2,360.4,427.4,562.9,2070.1,64775.9,65000,1746196858235,1746196863403
read,207.3,95.1,59.1,93.5,102.2,195.7,246.0,271.2,287.9,306.4,328.9,362.5,430.0,551.4,1793.5,69842.4,70000,1746196864907,1746196870077
read,208.7,95.1,59.1,93.0,101.8,197.1,248.7,273.9,290.9,309.9,332.7,366.4,435.1,565.1,1977.5,75144.8,75000,1746196871580,1746196876751
read,211.2,99.4,59.1,94.4,103.2,195.0,248.8,276.6,295.1,315.5,340.1,376.1,458.5,767.8,1732.3,79885.2,80000,1746196878254,1746196883423
read,212.8,102.8,59.1,91.9,101.3,198.8,255.5,283.0,301.0,320.1,343.8,378.4,451.2,586.6,2272.5,85085.5,85000,1746196884926,1746196890096
read,209.5,97.2,59.1,93.1,101.7,191.6,247.2,277.1,296.9,318.3,343.4,379.7,456.3,599.2,1101.1,89886.0,90000,1746196891598,1746196896767
read,206.1,102.9,59.1,91.6,100.5,187.6,242.7,272.7,292.5,313.7,338.7,373.4,444.9,568.7,2288.2,94975.1,95000,1746196898270,1746196903438
read,213.2,106.5,59.1,94.6,103.5,187.5,246.6,281.2,304.6,329.4,359.0,400.7,493.5,687.5,1823.3,100274.0,100000,1746196904941,1746196910109
