type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,200.2,96.0,59.1,100.0,112.1,201.3,219.8,230.4,237.6,248.7,262.9,286.5,351.0,1002.5,4949.9,4943.0,5000,1746385925343,1746385930553
read,210.2,104.4,63.8,109.7,135.2,207.0,226.1,236.5,246.1,256.2,271.2,294.5,365.7,1002.0,6147.7,9929.4,10000,1746385932057,1746385937257
read,211.9,59.6,63.8,119.8,142.3,211.3,230.3,241.2,249.7,259.9,273.1,295.6,355.4,551.4,1443.6,14964.4,15000,1746385938760,1746385943932
read,219.9,86.4,63.8,124.0,143.0,218.6,239.6,251.8,261.0,271.4,286.5,311.4,381.3,745.6,3493.3,19944.8,20000,1746385945436,1746385950604
read,222.9,79.2,63.8,125.1,141.3,221.7,244.6,256.7,266.1,275.6,291.1,315.6,406.7,1000.9,2140.4,24912.0,25000,1746385952107,1746385957275
read,229.2,87.1,63.8,124.9,140.3,227.3,253.6,267.4,276.4,289.2,305.2,334.1,450.5,927.9,2533.4,30090.4,30000,1746385958780,1746385963953
read,223.5,74.0,59.1,123.0,136.6,224.0,251.5,265.4,274.3,286.5,300.5,325.9,407.5,699.0,1481.9,35097.8,35000,1746385965458,1746385970628
read,228.8,92.2,63.8,126.4,139.4,227.9,258.9,273.6,284.4,295.5,311.8,337.0,408.0,671.6,2683.5,39969.1,40000,1746385972132,1746385977300
read,230.1,96.0,63.8,124.9,137.9,228.8,262.3,277.7,288.7,300.8,317.0,343.3,420.9,700.4,2509.4,45115.9,45000,1746385978804,1746385983975
read,234.9,110.8,63.8,121.2,133.7,226.6,263.5,281.2,293.4,308.5,327.8,364.9,579.0,1331.7,2800.6,50134.2,50000,1746385985479,1746385990649
read,225.4,110.2,63.8,120.1,131.5,220.3,259.5,277.2,289.4,302.9,319.1,345.3,428.3,741.2,3468.7,55025.0,55000,1746385992153,1746385997324
read,233.9,108.7,63.8,120.0,131.6,225.5,268.5,288.7,302.6,318.4,339.9,374.0,490.6,807.8,3131.4,59989.0,60000,1746385998828,1746386003997
read,226.7,91.5,59.1,119.5,130.5,217.1,261.6,281.9,295.2,311.1,330.6,362.2,459.6,719.7,2209.7,64982.8,65000,1746386005501,1746386010671
read,225.8,106.0,63.8,119.1,129.7,212.8,259.3,280.5,294.5,310.8,330.8,363.1,467.8,865.1,2686.9,69881.0,70000,1746386012175,1746386017344
read,235.3,123.3,59.1,119.3,130.4,217.4,265.7,288.7,304.6,322.0,346.3,394.4,596.4,1061.0,4370.7,74817.7,75000,1746386018848,1746386024018
read,229.3,109.5,63.8,117.7,128.3,211.7,261.7,285.3,301.0,318.6,341.6,380.8,534.8,1011.2,2867.6,79900.6,80000,1746386025524,1746386030694
read,222.8,98.9,63.8,118.4,128.6,205.3,254.4,278.9,294.9,313.1,335.3,369.0,461.1,702.8,2878.1,85030.8,85000,1746386032198,1746386037369
read,233.0,110.1,63.8,119.3,130.1,210.6,260.6,286.5,304.3,324.4,351.5,402.1,606.3,989.1,2199.1,90078.1,90000,1746386038873,1746386044045
read,256.3,220.7,68.9,121.5,132.9,214.1,264.3,291.8,311.6,335.6,371.1,464.8,1026.2,2983.8,5112.0,95322.6,95000,1746386045550,1746386050722
read,229.5,109.6,63.8,120.8,131.7,206.9,254.0,280.4,298.4,318.9,345.4,394.4,564.4,929.8,2690.5,99848.6,100000,1746386052227,1746386057398
read,229.3,117.1,63.8,119.8,130.5,203.9,251.2,278.3,296.9,318.4,345.8,397.5,596.2,1194.9,2912.6,105016.1,105000,1746386058902,1746386064071
read,224.2,107.4,68.9,120.3,130.9,201.3,246.0,272.2,290.8,312.0,339.0,385.9,538.7,909.3,3242.9,109834.0,110000,1746386065575,1746386070748
read,229.7,132.7,63.8,121.3,132.2,203.0,247.4,274.1,293.4,315.5,343.9,398.2,618.6,1427.2,2683.8,115054.6,115000,1746386072252,1746386077422
read,219.6,94.0,63.8,121.0,131.6,198.7,239.7,265.6,284.0,305.3,332.2,374.3,494.5,753.8,1745.8,120066.2,120000,1746386078930,1746386084100
