type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,197.2,91.0,68.9,101.1,113.6,195.3,213.6,224.3,232.3,242.9,256.4,281.8,369.1,1132.5,3114.7,4981.4,5000,1746385599341,1746385604546
read,204.7,69.9,68.9,113.0,137.4,203.0,220.4,230.2,236.6,247.6,261.2,286.2,355.9,924.7,1782.2,9939.6,10000,1746385606051,1746385611252
read,211.8,85.9,63.8,120.8,142.0,209.9,228.3,238.2,247.1,256.5,270.9,294.1,358.8,939.0,3202.0,15006.6,15000,1746385612756,1746385617926
read,212.7,60.8,68.9,124.5,141.0,213.1,232.8,244.2,252.2,262.7,274.5,295.9,355.3,530.6,1010.8,19943.9,20000,1746385619430,1746385624602
read,223.2,81.2,63.8,124.8,140.5,221.1,243.8,256.5,266.4,276.8,292.5,318.5,436.1,964.0,2656.7,24943.2,25000,1746385626105,1746385631274
read,219.8,72.7,59.1,125.1,138.8,221.6,245.6,258.4,267.4,276.9,291.1,312.9,367.7,543.8,1952.1,30111.5,30000,1746385632778,1746385637950
read,222.6,94.5,63.8,123.6,136.5,222.5,249.9,264.0,273.1,285.2,298.8,322.3,388.6,656.2,3629.9,35018.2,35000,1746385639454,1746385644622
read,223.7,77.8,59.1,123.2,136.1,224.2,254.5,269.3,279.4,291.3,306.7,330.3,391.3,547.0,1928.1,39766.3,40000,1746385646127,1746385651298
read,224.3,83.0,63.8,122.0,134.1,223.0,255.8,271.1,282.0,294.1,310.6,336.2,404.4,688.8,2281.6,44974.0,45000,1746385652803,1746385657972
read,231.2,103.6,63.8,121.1,133.3,226.3,263.1,280.3,292.1,306.1,322.4,354.0,482.8,920.2,4112.5,49989.0,50000,1746385659476,1746385664646
read,227.0,91.5,59.1,121.3,132.9,221.6,260.0,277.5,289.8,303.7,320.3,349.1,442.8,814.4,2999.6,55030.1,55000,1746385666151,1746385671322
read,222.8,87.7,59.1,118.2,129.1,217.8,259.2,277.4,289.7,303.5,319.7,345.9,414.1,598.3,2201.2,59951.5,60000,1746385672826,1746385677999
read,221.6,98.8,59.1,118.4,129.0,213.0,257.4,276.9,289.8,304.2,320.8,347.1,411.7,596.1,2751.2,64968.0,65000,1746385679503,1746385684675
read,227.7,102.5,59.1,118.7,129.4,213.6,259.7,281.1,295.0,311.5,332.3,367.4,534.6,1063.4,2028.0,69871.4,70000,1746385686179,1746385691349
read,222.4,93.2,63.8,117.6,128.1,209.8,258.1,279.9,293.9,310.0,329.3,359.6,433.2,633.9,2664.7,75102.9,75000,1746385692852,1746385698025
read,226.8,166.8,63.8,117.7,128.2,207.4,253.6,276.7,292.2,309.9,331.9,367.1,478.9,3073.4,6310.8,80212.8,80000,1746385699529,1746385704700
