type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,151.9,84.6,63.8,96.1,103.8,144.2,159.8,169.4,176.6,185.7,199.5,225.1,298.3,1203.6,2554.7,4936.4,5000,1746195386748,1746195391952
read,160.3,69.8,68.9,100.1,109.5,155.3,171.2,180.7,187.2,196.9,209.8,231.9,299.2,465.4,3426.5,9987.6,10000,1746195393456,1746195398655
read,170.7,68.8,63.8,99.7,109.8,167.3,185.5,196.1,203.5,213.8,227.8,253.3,324.0,473.6,2085.1,15037.6,15000,1746195400159,1746195405328
read,176.7,56.2,68.9,98.0,107.8,175.8,196.3,207.4,215.4,225.8,239.0,263.9,327.3,432.9,1187.4,20093.4,20000,1746195406832,1746195412001
read,184.9,77.7,59.1,98.3,107.9,184.7,207.6,219.3,228.5,238.8,253.5,277.4,340.8,475.2,2640.1,24931.0,25000,1746195413504,1746195418673
read,192.2,75.7,63.8,96.7,105.9,192.2,219.1,232.9,243.5,255.4,272.4,299.7,370.8,491.3,2527.2,30031.0,30000,1746195420177,1746195425346
read,192.3,80.4,63.8,96.8,105.6,192.5,221.5,235.4,246.1,257.9,273.1,297.5,364.3,540.8,2603.6,34839.0,35000,1746195426850,1746195432019
read,195.7,74.0,63.8,96.1,104.9,195.5,228.8,245.2,256.3,269.3,286.2,312.9,373.4,527.8,935.8,39758.4,40000,1746195433523,1746195438689
read,199.2,164.8,59.1,95.2,103.8,194.2,231.6,249.6,261.9,274.9,292.9,320.1,389.7,626.2,11303.7,45075.4,45000,1746195440194,1746195445361
read,199.5,81.1,63.8,95.0,103.5,195.0,236.4,255.9,268.9,283.8,301.9,331.4,398.0,541.5,856.5,49927.4,50000,1746195446865,1746195452037
read,199.0,133.5,59.1,94.3,102.8,192.1,234.5,254.4,267.5,282.2,300.3,328.9,395.7,555.6,7109.1,55060.6,55000,1746195453540,1746195458709
read,204.3,89.0,59.1,94.9,103.7,193.7,242.6,265.5,280.3,296.5,317.6,350.8,427.4,557.2,1496.4,60067.0,60000,1746195460212,1746195465382
read,202.5,86.6,59.1,94.5,103.4,190.3,238.8,262.8,278.1,295.3,316.5,348.4,422.8,576.5,1434.5,65031.4,65000,1746195466886,1746195472057
read,201.0,87.0,59.1,93.5,102.1,187.9,237.1,261.7,277.4,294.8,316.3,348.4,418.3,533.2,1104.0,69836.6,70000,1746195473560,1746195478730
read,203.9,91.8,54.7,94.0,103.1,189.5,239.4,265.1,281.9,300.4,322.5,356.7,427.2,547.9,2185.2,75034.2,75000,1746195480234,1746195485402
read,205.1,90.2,59.1,94.4,103.9,189.9,240.1,266.8,284.1,303.2,326.4,361.2,427.9,540.2,1102.3,79869.8,80000,1746195486906,1746195492077
read,204.7,91.8,59.1,93.9,103.1,188.8,238.9,265.9,283.7,303.3,326.9,363.0,432.2,543.0,1648.1,85102.3,85000,1746195493580,1746195498751
read,207.5,101.9,59.1,94.0,103.6,190.7,239.3,266.4,284.9,306.0,331.7,369.6,449.9,650.1,2673.3,90205.8,90000,1746195500255,1746195505424
read,207.2,92.5,54.7,94.4,104.2,190.8,239.9,267.2,285.7,306.8,332.4,369.8,446.9,583.3,1298.1,95161.0,95000,1746195506928,1746195512097
read,212.0,101.2,59.1,95.7,106.2,194.6,244.2,271.7,291.1,313.0,339.7,378.7,462.6,670.3,2056.1,100110.0,100000,1746195513601,1746195518768
read,221.9,108.9,54.7,97.5,109.6,205.0,254.8,282.2,301.9,324.8,354.4,399.2,495.5,653.0,3509.0,104955.9,105000,1746195520272,1746195525441
read,211.3,95.4,54.7,97.4,108.4,194.7,241.5,268.7,287.8,309.6,336.6,374.9,457.1,617.1,1851.6,109966.3,110000,1746195526945,1746195532115
read,211.8,88.9,59.1,97.9,109.4,197.2,243.6,269.4,287.6,308.6,334.9,372.7,449.6,582.9,985.9,114993.8,115000,1746195533619,1746195538787
read,221.3,148.5,59.1,100.7,113.1,203.1,251.0,277.5,296.5,318.6,346.5,390.4,497.2,734.0,5043.4,119802.7,120000,1746195540291,1746195545459
read,216.8,99.0,59.1,101.4,113.9,201.2,247.0,272.4,291.0,312.5,339.5,378.9,460.4,592.0,2728.3,124919.0,125000,1746195546963,1746195552135
read,233.5,102.9,59.1,109.0,123.8,218.6,265.5,291.8,310.7,333.0,361.6,403.2,500.2,659.4,2455.2,130090.1,130000,1746195553639,1746195558812
read,228.1,106.0,59.1,107.5,121.8,211.9,257.8,283.9,302.5,324.2,352.9,396.4,495.7,669.8,3337.8,134921.7,135000,1746195560315,1746195565487
read,244.7,101.5,63.8,118.1,135.2,230.8,276.9,302.4,320.3,342.4,370.6,415.0,511.7,680.4,1549.9,140069.9,140000,1746195566991,1746195572165
read,288.2,122.7,63.8,136.7,158.2,270.2,320.5,351.2,374.5,403.3,443.7,505.5,618.4,766.6,2834.7,144831.6,145000,1746195573669,1746195578840
read,426.9,165.6,68.9,239.0,267.8,371.2,470.0,549.2,587.8,624.3,663.7,714.4,803.0,1088.8,3964.0,145710.4,150000,1746195580344,1746195585514
read,405.8,149.5,80.4,228.2,255.0,355.8,459.2,522.0,556.2,588.5,622.9,667.1,742.8,903.3,2790.5,152307.8,155000,1746195587017,1746195592190
read,434.7,160.0,68.9,259.0,283.3,370.4,469.8,568.2,608.6,642.2,675.5,718.8,796.0,966.7,2099.8,146592.2,160000,1746195593694,1746195598864
read,456.8,179.4,63.8,260.9,294.3,392.9,477.0,584.1,636.6,678.1,718.3,766.8,868.9,1184.5,4194.5,140793.3,165000,1746195600368,1746195605539
read,442.9,164.6,80.4,261.1,287.4,380.7,474.0,573.9,617.2,654.1,688.8,734.1,808.6,986.0,2166.0,145655.4,170000,1746195607042,1746195612219
read,433.7,159.6,74.4,253.9,279.2,371.0,479.8,565.9,604.8,637.1,670.9,714.5,799.6,1007.1,2673.4,148659.5,175000,1746195613722,1746195618894
read,429.9,179.1,80.4,242.2,270.2,369.2,488.1,558.8,594.6,625.9,660.4,703.4,803.0,1128.7,3907.3,149982.2,180000,1746195620398,1746195625570
