type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,208.3,116.8,63.8,101.4,113.9,206.5,224.9,234.4,243.0,252.7,267.9,293.9,466.3,1269.2,4484.3,5010.8,5000,1746385183514,1746385188734
read,217.4,86.5,63.8,110.3,135.6,216.1,234.7,246.7,254.5,266.0,279.5,304.6,401.8,939.7,3892.2,9949.0,10000,1746385190238,1746385195452
read,242.3,251.4,63.8,120.8,144.5,228.0,252.4,266.8,276.6,290.2,308.5,344.1,647.0,2337.9,12262.2,15030.4,15000,1746385196956,1746385202141
read,239.6,123.0,63.8,122.3,142.1,228.9,255.4,270.4,281.7,295.1,315.2,357.3,662.5,1648.1,3231.3,20049.7,20000,1746385203646,1746385208830
read,246.3,108.5,63.8,123.7,141.1,239.2,269.1,285.2,296.1,311.5,332.4,374.0,619.1,1172.0,2549.1,25056.0,25000,1746385210334,1746385215519
read,240.0,91.8,63.8,124.5,139.5,237.0,268.6,285.1,296.1,310.6,328.7,361.7,495.4,857.9,2378.5,29970.8,30000,1746385217023,1746385222209
read,252.0,145.6,54.7,123.6,137.5,239.4,276.4,294.6,308.2,323.2,345.6,397.0,730.6,1760.9,4796.2,35023.2,35000,1746385223713,1746385228900
read,241.5,104.5,63.8,122.6,135.4,239.1,277.2,295.0,307.8,321.1,340.5,370.2,466.6,792.5,3442.2,39890.1,40000,1746385230404,1746385235587
read,243.3,166.2,68.9,122.6,134.9,236.0,278.6,298.6,312.5,328.3,347.1,381.2,488.9,803.0,10436.9,45067.6,45000,1746385237091,1746385242275
read,245.0,118.6,63.8,121.9,133.9,236.1,282.0,303.5,317.6,334.9,356.5,394.3,533.5,923.2,2893.4,50062.9,50000,1746385243779,1746385248965
read,242.4,98.9,63.8,119.6,131.1,234.9,283.0,305.3,319.8,337.8,360.2,395.6,495.4,801.2,1740.2,54838.2,55000,1746385250469,1746385255653
