#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      211.5    78.3    74.4   126.0   140.7   203.2   230.8   246.7   258.2   271.9   290.0   317.3   382.4   546.5  2634.2  29999.9    30000  1745018201925  1745018212068
read      257.2   345.5    74.4   127.6   139.6   198.0   226.1   242.8   255.5   272.0   295.4   352.1  2117.3  4572.8  6416.5  30001.5    30005  1745018213579  1745018223701
read      270.9   339.1    80.4   137.4   150.2   213.1   242.8   261.7   275.1   293.8   320.3   391.6  2121.7  3614.8  6441.8  30022.4    30010  1745018225212  1745018235311
read      245.4   283.0    80.4   126.9   140.1   203.6   233.6   251.4   264.9   281.3   305.0   353.2  1643.1  3400.1  6379.4  30070.8    30015  1745018236822  1745018246924
read      266.9   366.3    74.4   128.5   141.8   207.5   238.3   257.2   271.5   290.0   316.5   381.6  2132.3  5028.1  8790.9  29991.7    30020  1745018248435  1745018258534
read      263.6   338.2    80.4   128.3   141.4   205.0   235.9   255.2   270.0   288.4   314.6   378.3  2115.7  4041.6  6382.3  30028.4    30025  1745018260045  1745018270142
read      260.1   335.3    80.4   129.1   141.4   203.2   233.6   252.0   266.2   283.8   309.2   365.9  2098.7  3965.0  6440.0  30065.9    30030  1745018271654  1745018281755
read      264.8   341.1    80.4   130.0   143.4   206.6   237.5   257.0   271.6   290.2   316.7   381.3  2094.4  4799.5  7302.4  30053.6    30035  1745018283265  1745018293364
read      276.6   371.2    80.4   127.6   141.1   208.0   242.6   264.1   280.2   300.8   332.1   424.3  2187.4  4976.5  6745.0  30057.0    30040  1745018294879  1745018304979
read      268.4   355.6    80.4   130.4   143.6   206.1   236.8   256.1   270.9   289.7   316.5   384.8  2164.7  4846.3  6447.2  30163.9    30045  1745018306489  1745018316589
read      262.3   330.2    80.4   130.5   144.1   207.4   237.1   255.0   269.2   286.7   312.0   371.5  2078.5  3650.3  6440.1  29942.9    30050  1745018318100  1745018328203
read      266.1   342.1    74.4   130.9   144.2   209.5   240.0   258.5   272.3   290.2   315.8   374.0  2118.4  4762.0  6460.8  30094.1    30055  1745018329713  1745018339814
read      249.1   295.8    80.4   127.1   140.5   201.6   231.0   249.2   263.1   279.9   304.7   360.4  1899.9  3281.1  6394.3  30003.3    30060  1745018341325  1745018351423
read      262.7   364.8    80.4   128.8   141.6   204.1   233.4   251.5   265.6   282.9   307.5   363.6  2139.4  5017.5  8134.8  30058.2    30065  1745018352933  1745018363031
read      265.5   356.2    74.4   127.1   140.5   204.4   235.5   254.1   268.6   286.6   313.1   379.8  2136.7  4938.7  6456.3  30060.9    30070  1745018364543  1745018374642
read      265.8   346.1    80.4   125.3   139.4   204.9   236.9   256.7   272.0   291.3   319.2   395.5  2115.5  4806.3  6427.6  30035.1    30075  1745018376153  1745018386256
read      267.0   343.0    80.4   130.8   144.1   208.8   239.2   257.9   272.2   291.1   317.6   384.8  2113.2  4379.9  6432.2  30053.6    30080  1745018387766  1745018397865
read      272.1   355.0    80.4   128.9   143.0   211.5   245.0   265.3   280.4   299.4   328.7   399.5  2126.7  4949.8  7195.4  29983.0    30085  1745018399375  1745018409475
read      211.5    91.8    74.4   130.0   143.2   203.3   229.8   244.4   254.7   267.8   284.1   310.3   372.2   741.2  3330.6  30192.7    30090  1745018410990  1745018421091
read      209.7    85.3    80.4   129.4   142.4   202.5   228.4   242.6   252.9   265.7   281.2   306.7   368.7   604.6  3212.1  30004.7    30095  1745018422601  1745018432699
read      204.7    89.1    80.4   123.6   137.6   197.2   223.3   237.3   248.3   260.8   275.7   301.0   361.9   551.3  3765.3  30033.7    30100  1745018434210  1745018444312
read      207.9    90.1    74.4   121.5   136.9   200.1   227.7   242.9   253.9   267.5   284.4   310.7   371.0   650.7  3195.7  30046.8    30105  1745018445823  1745018455923
read      207.6    83.9    74.4   122.9   137.5   199.3   226.9   242.3   253.5   267.4   284.5   310.9   372.2   585.8  3537.5  30163.5    30110  1745018457434  1745018467534
