#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      213.1    94.2    74.4   122.0   137.7   204.9   233.4   249.9   261.9   275.1   293.4   320.2   383.1   589.4  3587.3  29962.3    30000  1745018941004  1745018951150
read      252.0   301.4    80.4   127.6   141.0   207.4   238.0   256.6   270.4   287.6   310.5   353.1  1915.0  3413.6  6523.7  29879.0    30005  1745018952662  1745018962784
read      283.4   374.0    80.4   134.3   148.0   214.9   246.5   265.8   280.1   298.2   325.8   401.9  2235.2  4885.5  6446.0  29966.6    30010  1745018964294  1745018974394
read      246.3   267.2    80.4   130.6   143.9   210.5   241.0   259.0   272.3   289.2   311.5   350.9  1330.8  3342.7  6400.1  29910.8    30015  1745018975905  1745018986003
read      257.7   308.2    80.4   130.8   143.0   207.3   238.2   257.3   271.4   289.7   315.7   376.6  1852.7  3681.4  6972.5  30095.2    30020  1745018987514  1745018997612
read      266.6   339.8    80.4   128.8   142.5   210.7   243.5   263.6   278.2   296.4   322.8   385.0  2095.0  4834.6  7060.3  30053.7    30025  1745018999123  1745019009221
read      266.2   332.7    80.4   129.1   143.1   210.8   243.7   264.1   279.3   298.1   325.8   386.8  2092.4  4066.6  6450.7  30039.7    30030  1745019010733  1745019020832
read      262.5   334.0    80.4   123.1   138.1   207.1   240.9   261.2   275.8   294.6   319.6   372.8  2132.5  3949.0  6411.8  30116.0    30035  1745019022343  1745019032442
read      273.3   337.4    74.4   127.6   141.8   214.5   249.8   270.8   287.1   307.2   336.7   408.5  2123.4  3982.8  6425.9  30018.4    30040  1745019033953  1745019044053
read      280.4   347.3    80.4   130.8   145.5   219.3   255.5   277.4   294.2   315.0   344.8   421.8  2179.2  4387.1  6439.5  30043.9    30045  1745019045564  1745019055665
read      266.7   340.3    80.4   128.6   141.6   208.7   242.1   262.4   277.0   296.0   322.7   389.0  2116.4  4755.8  7044.0  30054.9    30050  1745019057176  1745019067276
read      275.6   362.3    80.4   131.0   144.4   214.4   248.2   268.7   284.3   303.2   330.4   396.0  2169.1  4923.9  7592.4  30069.3    30055  1745019068786  1745019078883
read      274.6   349.7    80.4   131.2   144.9   214.0   248.3   269.0   284.7   303.9   331.9   397.8  2157.4  4817.3  7183.1  30184.1    30060  1745019080393  1745019090506
read      263.0   325.7    80.4   128.6   141.6   208.6   241.1   261.2   275.4   294.0   318.6   371.8  2083.4  3464.7  6418.1  29957.8    30065  1745019092017  1745019102115
read      265.3   348.9    80.4   127.1   140.3   207.8   241.2   261.8   276.4   295.1   320.5   378.5  2111.0  4848.3  8318.9  30067.7    30070  1745019103625  1745019113723
read      271.5   329.5    74.4   129.5   143.3   215.9   251.1   272.4   288.7   308.5   336.5   397.9  2115.1  3504.6  6397.2  30050.5    30075  1745019115235  1745019125334
read      261.4   296.2    80.4   127.2   141.4   211.6   245.0   265.4   280.6   299.5   326.8   392.3  1779.8  3287.4  6391.6  30098.1    30080  1745019126845  1745019136946
read      274.0   358.4    74.4   127.8   141.4   211.5   245.9   267.1   283.1   303.1   332.4   401.9  2190.6  4909.2  6455.7  30124.1    30085  1745019138457  1745019148557
read      230.9   206.3    80.4   126.9   140.1   206.8   236.5   254.1   267.3   282.7   303.2   338.4   592.0  3038.0  6203.3  30013.5    30090  1745019150068  1745019160167
read      217.3    79.4    80.4   132.0   145.4   210.6   237.7   253.3   264.8   277.2   294.2   319.6   380.1   542.0  2992.1  30008.5    30095  1745019161678  1745019171778
read      212.7    88.2    74.4   119.2   134.5   203.4   234.1   252.0   265.0   279.4   297.2   326.1   391.0   592.2  3639.2  30153.8    30100  1745019173289  1745019183387
