#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      209.7    87.3    80.4   128.7   141.2   201.6   228.3   243.3   254.1   267.3   283.6   309.7   369.3   622.3  3269.5  29988.9    30000  1745018597254  1745018607401
read      213.3   186.9    80.4   124.8   136.8   193.8   219.9   234.3   245.6   258.5   274.8   305.0   429.0  2892.2  6257.5  30128.8    30005  1745018608911  1745018619046
read      265.9   360.3    80.4   126.9   139.5   202.1   232.1   250.2   264.1   280.8   306.1   372.3  2150.6  4882.5  6432.1  30088.7    30010  1745018620556  1745018630655
read      235.8   255.6    80.4   125.1   138.8   201.7   231.3   248.6   261.4   275.8   296.6   336.6  1253.3  3199.9  6339.3  29935.0    30015  1745018632166  1745018642269
read      272.3   358.9    86.8   131.9   144.9   212.0   243.6   262.6   275.9   294.3   320.0   385.3  2149.1  4841.2  7537.8  29977.4    30020  1745018643780  1745018653879
read      254.8   318.6    86.8   128.3   141.0   202.2   232.7   251.2   265.2   282.0   306.3   360.5  2062.6  3534.2  6425.1  30011.1    30025  1745018655391  1745018665492
read      263.3   336.1    80.4   128.4   142.0   207.7   238.5   257.0   270.9   288.8   314.0   372.7  2097.4  4707.0  6425.8  30059.8    30030  1745018667004  1745018677103
read      266.0   339.5    80.4   130.2   143.9   209.7   241.5   260.9   274.8   293.7   320.5   395.2  2073.6  4895.6  7170.2  29983.2    30035  1745018678613  1745018688712
read      264.8   335.3    80.4   127.1   140.8   209.2   243.6   264.3   279.3   297.4   323.0   379.6  2105.8  4515.7  6416.9  30163.3    30040  1745018690222  1745018700322
read      268.2   355.4    86.8   130.4   142.9   208.0   239.6   258.7   273.0   291.4   317.5   383.7  2142.3  4963.0  7163.9  30007.0    30045  1745018701833  1745018711934
read      258.5   328.8    74.4   124.3   138.2   203.8   235.9   255.1   269.8   287.8   313.0   369.3  2073.8  3938.3  6456.9  30028.2    30050  1745018713444  1745018723545
read      266.6   342.9    80.4   128.5   141.8   208.4   241.2   261.3   275.6   294.4   320.7   388.2  2119.8  4830.5  6415.8  30085.6    30055  1745018725055  1745018735153
read      264.2   334.6    80.4   127.3   141.0   209.0   241.5   261.6   276.0   295.2   322.7   388.8  2114.4  4786.9  6419.8  30094.8    30060  1745018736665  1745018746765
read      265.2   338.2    80.4   127.8   140.7   207.1   238.7   258.3   273.1   292.1   318.5   383.5  2126.3  3935.2  6443.9  30157.0    30065  1745018748275  1745018758376
read      273.8   377.0    80.4   131.0   144.8   212.4   243.9   263.3   277.3   295.4   321.5   394.2  2156.7  4888.3 11201.8  30129.4    30070  1745018759886  1745018769985
read      264.1   336.8    80.4   128.4   141.3   207.0   239.3   258.8   273.2   291.7   318.0   383.5  2102.2  4447.8  6429.8  30070.0    30075  1745018771495  1745018781595
read      268.1   351.2    80.4   129.0   141.5   208.1   240.4   259.7   273.7   292.5   318.5   380.6  2158.0  4800.8  6438.9  30113.0    30080  1745018783106  1745018793205
read      267.0   330.0    80.4   130.2   143.4   210.7   242.7   261.9   275.7   294.4   320.6   389.7  2088.2  3842.8  6416.8  30141.1    30085  1745018794716  1745018804818
read      236.0   255.0    80.4   122.9   137.8   203.0   232.7   250.0   263.1   278.4   299.7   340.0  1239.1  3222.5  6460.7  30083.6    30090  1745018806328  1745018816427
read      210.7    84.3    80.4   125.0   139.2   202.6   230.6   246.4   257.6   271.0   288.1   314.1   373.1   606.6  3169.9  30163.0    30095  1745018817939  1745018828038
read      213.7    87.8    74.4   130.2   143.5   206.2   232.6   247.7   258.5   271.2   288.1   314.1   375.1   678.3  3944.4  30108.9    30100  1745018829550  1745018839647
