type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,161.6,47.7,63.8,105.1,115.0,158.9,175.2,184.1,190.6,198.6,209.5,226.6,265.1,332.0,1960.7,5009.2,5000
read,186.6,50.4,68.9,108.7,121.1,185.6,206.5,217.6,226.6,236.0,250.3,270.4,311.6,382.6,594.8,9987.6,10000
read,201.4,69.7,63.8,110.3,123.0,200.2,225.7,239.4,249.6,261.1,274.1,295.9,343.0,538.4,2523.8,14883.0,15000
read,221.0,89.4,63.8,109.9,123.7,220.6,251.9,267.7,278.5,291.8,308.7,334.7,398.8,590.8,1889.4,19908.6,20000
read,230.0,88.3,63.8,108.2,122.2,230.0,265.2,282.4,294.1,309.0,327.2,356.3,427.1,561.9,1880.9,25005.6,25000
read,237.3,118.8,63.8,108.4,122.4,233.6,272.7,292.1,305.9,320.7,341.8,375.4,463.7,1030.7,4267.7,29938.8,30000
read,247.4,96.6,63.8,107.1,122.0,246.0,287.4,309.0,323.9,341.9,365.6,407.7,490.5,611.9,1086.7,35010.4,35000
read,257.6,138.3,63.8,107.8,123.0,251.3,296.3,319.9,337.7,359.2,391.4,443.1,540.3,802.7,2668.8,39985.8,40000
read,267.8,168.0,68.9,108.6,124.4,256.7,303.0,328.8,347.6,372.9,413.7,465.8,588.3,1380.2,7717.0,44800.6,45000
read,274.5,135.6,63.8,110.1,126.2,261.2,310.7,338.6,360.9,393.0,435.0,490.1,631.4,1329.7,2929.9,49915.0,50000
read,287.9,146.2,63.8,112.8,130.9,269.7,321.1,352.8,379.1,418.4,461.3,524.5,717.8,1385.3,2180.8,55030.6,55000
read,436.1,366.4,63.8,121.4,145.7,317.2,428.2,510.5,614.1,819.3,952.9,1064.8,1755.4,2306.9,7884.4,60026.9,60000
read,1119.5,491.3,86.8,817.7,870.0,1035.8,1086.3,1120.3,1150.9,1181.5,1297.1,1943.9,2256.5,7790.4,8958.3,59574.8,65000
read,1138.9,507.7,74.4,832.1,884.5,1049.7,1099.6,1141.6,1168.2,1210.5,1342.1,1964.0,2316.8,7851.1,9202.7,58678.0,70000
read,1135.5,502.7,127.6,833.0,884.1,1047.0,1095.3,1133.7,1160.7,1187.6,1329.0,1962.0,2290.1,7852.4,8959.3,58943.0,75000
read,1123.8,492.7,101.3,830.2,880.6,1038.5,1088.6,1123.5,1152.6,1181.6,1285.5,1937.2,2240.0,7826.2,8881.4,59521.4,80000
