type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,231.5,517.4,59.1,91.5,100.4,142.1,158.9,169.4,178.1,191.8,229.4,384.1,2268.2,7900.6,10027.8,4965.6,5000
read,273.1,490.6,63.8,98.1,109.3,165.7,187.3,202.0,216.4,246.2,331.2,1294.9,2294.1,7575.8,9026.6,9983.7,10000
read,284.2,420.4,59.1,98.9,111.0,182.5,209.4,229.0,251.6,292.6,369.4,1304.8,2221.1,5054.6,7998.6,14917.6,15000
read,317.2,469.1,54.7,98.3,111.8,204.7,241.6,273.1,302.6,348.3,448.3,1328.3,2126.4,3172.6,18292.6,19949.2,20000
read,336.9,425.8,59.1,99.6,112.2,212.8,264.5,300.1,333.6,393.4,528.1,1348.3,2094.8,2555.1,8066.9,24877.8,25000
read,360.6,425.7,63.8,99.8,113.8,234.9,294.4,330.6,364.8,432.7,678.3,1362.6,2075.4,2538.1,7917.7,30041.2,30000
read,369.7,406.4,63.8,103.5,117.4,249.0,317.9,358.0,395.1,464.3,893.2,1363.9,1975.2,2521.6,7584.3,34972.0,35000
read,411.4,440.8,63.8,105.2,122.5,272.4,343.6,391.9,449.6,567.2,1291.5,1406.4,1961.4,2533.3,7865.9,39945.8,40000
read,423.1,423.5,63.8,111.2,131.7,292.9,371.8,432.8,510.7,633.9,940.1,1407.6,1989.4,2563.5,7497.7,44986.6,45000
read,1070.7,1004.9,63.8,191.4,275.5,599.6,970.1,1598.9,2193.5,2419.3,2532.0,2790.2,3209.1,8022.9,9890.2,49970.6,50000
read,1367.2,1109.7,101.3,460.2,505.4,685.7,1978.3,2413.7,2488.9,2564.1,2728.1,3035.0,3542.0,8083.1,9949.6,49560.2,55000
read,1398.0,1124.3,86.8,472.8,515.4,725.0,2061.2,2405.1,2494.0,2592.7,2732.0,3033.6,3854.5,8100.8,15382.3,48623.8,60000
read,1387.5,1104.3,86.8,466.0,512.5,723.3,2021.7,2403.3,2487.7,2576.9,2724.6,3030.7,3643.3,8080.3,9733.2,48960.2,65000
read,1378.9,1116.3,80.4,466.1,509.7,692.6,1988.1,2415.5,2492.7,2573.9,2730.9,3043.2,3681.5,8086.1,10082.1,49353.2,70000
read,1349.7,1108.5,86.8,452.6,492.5,674.3,1932.2,2408.6,2481.2,2553.7,2723.9,3020.7,3462.6,8087.3,10132.6,50363.0,75000
read,1359.4,1113.0,93.8,458.7,499.4,679.0,1968.5,2407.7,2483.1,2558.6,2730.8,3030.4,3580.5,8091.2,10129.8,50005.0,80000
