type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,172.1,96.1,68.9,110.0,120.5,167.9,184.4,194.1,200.8,210.3,222.1,242.8,291.7,516.8,3926.1,4965.2,5000
read,196.1,62.6,68.9,111.9,126.6,193.7,216.1,228.4,236.6,248.2,263.4,288.0,340.4,453.1,2038.2,9983.6,10000
read,214.1,71.8,68.9,112.5,128.0,213.0,239.2,253.6,265.3,278.0,293.9,318.1,373.6,555.6,2123.0,14942.2,15000
read,226.4,97.0,68.9,110.4,125.3,225.7,256.3,273.3,285.5,298.5,316.5,343.5,405.3,602.6,2441.7,19918.0,20000
read,240.3,104.0,68.9,113.7,128.9,237.1,274.0,293.1,306.7,321.1,342.4,372.8,466.8,1130.0,2331.8,24993.2,25000
read,248.7,99.3,63.8,110.4,125.8,245.9,287.6,308.6,322.4,340.0,362.3,397.6,505.3,684.7,2628.4,30170.6,30000
read,254.3,100.1,68.9,111.2,126.6,249.1,294.3,316.8,333.5,352.8,377.3,424.5,533.7,640.9,1541.7,35024.6,35000
read,262.7,138.5,63.8,110.5,126.0,251.2,300.4,326.0,344.9,367.2,396.1,456.4,573.7,1618.7,3343.7,39958.9,40000
read,273.4,129.2,68.9,110.0,126.6,263.6,312.2,339.5,359.8,384.5,423.5,488.5,591.7,982.0,2925.0,45000.8,45000
read,286.1,139.6,63.8,112.4,130.3,270.7,321.7,352.3,374.3,406.5,459.1,524.9,676.7,1246.3,2005.9,50149.6,50000
read,316.1,179.5,59.1,117.2,138.1,287.4,346.6,386.2,423.5,468.8,520.1,596.2,885.3,1693.8,3790.1,54935.2,55000
read,957.4,549.0,68.9,232.1,319.9,992.9,1064.6,1096.7,1129.9,1166.2,1236.6,1818.1,2198.4,7761.1,9169.1,59068.8,60000
read,1114.4,498.5,118.1,823.5,873.3,1025.6,1076.6,1100.8,1136.9,1173.0,1282.7,1934.2,2206.9,7809.9,9781.8,60055.2,65000
read,1136.5,504.4,101.3,835.4,886.7,1048.7,1098.8,1139.9,1166.4,1203.9,1328.3,1955.3,2293.5,7852.9,10234.1,58797.4,70000
read,1125.3,498.7,118.1,828.0,878.7,1037.6,1087.6,1122.0,1151.5,1181.1,1283.0,1954.1,2241.2,7824.2,9341.1,59433.1,75000
read,1127.5,499.9,137.8,828.3,878.8,1039.4,1089.4,1125.6,1155.1,1184.6,1319.4,1945.6,2262.7,7827.1,8960.5,59416.8,80000
