type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,249.6,351.1,63.8,110.4,121.0,167.4,187.0,200.0,211.7,229.1,288.1,782.6,1656.0,2564.1,7443.4,4988.2,5000
read,303.5,427.0,68.9,111.5,127.4,197.3,226.3,245.9,264.7,310.5,530.4,1148.2,1730.2,4892.7,11365.3,10022.0,10000
read,375.2,489.8,63.8,110.6,128.7,229.0,273.4,319.8,412.2,529.2,682.6,1499.9,2277.6,6986.0,10225.2,14877.6,15000
read,404.5,477.8,68.9,110.8,127.0,237.3,287.3,337.3,492.0,629.3,910.3,1552.6,2240.1,2763.1,7464.0,19910.2,20000
read,447.9,495.3,63.8,111.8,131.9,267.8,342.7,473.8,567.0,712.1,1180.4,1581.9,2179.0,3373.4,7483.8,24853.8,25000
read,474.6,488.2,63.8,113.1,136.4,292.3,418.9,528.4,623.9,765.5,1267.6,1585.3,2069.1,2765.0,7540.7,29881.8,30000
read,574.3,575.7,63.8,120.8,152.4,357.0,513.7,654.5,787.3,1049.0,1552.8,1699.5,2480.7,6671.3,7933.5,35105.4,35000
read,1866.7,1330.6,74.4,702.2,740.2,961.4,2780.8,2854.8,2901.1,2947.3,3012.7,3665.2,7636.5,8123.0,10819.2,36814.4,40000
read,1894.1,1314.7,93.8,710.7,754.8,1536.4,2675.8,2815.5,2871.2,2926.9,2982.6,3574.1,7694.5,9334.9,12472.2,36693.8,45000
read,1923.7,1323.3,86.8,719.1,761.7,1639.4,2675.5,2814.7,2872.9,2931.1,2989.3,3594.3,7754.7,9485.8,14782.1,36338.7,50000
read,1839.7,1291.9,93.8,684.2,719.9,1255.0,2633.3,2775.6,2843.9,2912.3,2980.7,3526.4,7677.1,8879.0,11081.1,37805.4,55000
read,1890.7,1294.9,93.8,712.0,754.7,1550.4,2636.9,2795.5,2858.2,2920.8,2983.5,3567.6,7686.8,9261.0,14682.2,36760.2,60000
read,1914.6,1295.5,101.3,726.6,765.1,1576.4,2692.5,2823.2,2878.3,2933.4,2988.5,3602.4,7700.0,8131.3,10965.9,36355.2,65000
read,1906.5,1294.2,93.8,717.5,758.7,1593.0,2660.6,2808.9,2869.0,2929.1,2989.1,3595.0,7713.5,8196.3,10969.5,36550.6,70000
read,1906.5,1300.3,86.8,715.0,757.4,1532.9,2700.3,2824.9,2878.6,2932.3,2986.0,3597.5,7713.7,8135.4,11293.1,36525.6,75000
read,1889.7,1296.7,109.4,711.4,753.8,1543.9,2642.8,2798.0,2859.7,2921.4,2983.1,3585.8,7728.2,8137.0,10192.4,36931.2,80000
