type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,227.8,448.5,59.1,93.0,101.3,144.6,163.5,175.8,186.8,208.3,252.5,399.4,2239.0,7638.1,8127.8,5053.8,5000
read,288.7,671.5,63.8,97.3,108.6,166.5,190.6,209.8,228.1,256.4,323.9,1262.9,2285.9,11507.9,17571.3,10011.2,10000
read,297.4,443.1,59.1,98.2,111.1,186.4,222.1,245.1,264.5,294.4,370.4,1286.7,2248.9,7102.9,8118.8,14968.4,15000
read,312.4,412.4,59.1,99.1,112.1,205.4,247.1,271.2,292.6,329.8,429.2,1299.8,2066.8,2673.3,8050.2,19971.6,20000
read,334.7,412.8,59.1,100.0,113.3,226.8,270.6,296.7,321.0,367.6,498.6,1317.9,2025.9,2621.2,7870.2,24952.7,25000
read,362.5,424.7,63.8,101.2,115.0,244.1,293.2,325.7,358.0,425.2,929.6,1340.5,2003.3,2545.1,7810.4,29812.4,30000
read,379.1,411.3,63.8,103.3,118.0,261.3,314.6,350.6,390.3,477.3,982.8,1346.9,1942.3,2492.0,7521.8,34892.6,35000
read,425.9,455.3,63.8,107.0,124.2,278.6,344.6,399.4,468.7,598.2,1292.1,1385.2,1958.9,2532.8,7872.9,40078.1,40000
read,422.0,418.8,63.8,111.1,132.2,294.0,367.1,429.6,506.2,633.5,931.3,1366.8,1989.6,2555.7,7525.9,44824.2,45000
read,506.2,523.1,63.8,121.9,148.1,335.5,444.1,539.2,630.0,802.2,1293.1,1532.9,2440.7,3302.3,8072.3,49949.4,50000
read,1367.3,1111.7,80.4,455.7,499.9,693.3,1929.5,2405.1,2484.6,2564.2,2732.0,3032.8,3660.6,8086.4,12553.3,49577.7,55000
read,1352.2,1103.9,101.3,451.1,492.1,680.5,1929.5,2402.5,2477.7,2553.0,2720.5,3008.2,3475.4,8079.6,10160.6,50169.2,60000
read,1392.1,1113.0,101.3,474.5,515.7,709.2,2040.9,2414.4,2497.1,2590.3,2735.1,3044.1,3559.5,8080.5,9953.5,48870.0,65000
read,1386.8,1112.7,93.8,465.9,511.4,714.6,2023.0,2413.4,2495.5,2586.8,2732.7,3039.0,3725.8,8081.2,10459.1,48984.0,70000
read,1381.4,1116.7,93.8,459.3,505.3,708.7,1991.0,2409.3,2491.7,2581.7,2737.7,3035.8,3818.9,8084.8,10185.5,49290.6,75000
read,1391.7,1123.9,101.3,465.9,510.6,716.4,2028.6,2412.7,2496.5,2591.2,2738.1,3043.1,3811.6,8104.4,10467.5,49017.6,80000
